Q221310,Anggun C. Sasmi,penyanyi-penulis lagu Indonesia-Prancis 
Q23580740,Hamid Algadri,
Q25470523,Samsul Arifin,Pesepak bola
Q29350757,Muhammad Fatchurohman,Indonesian association football player
Q5273842,Dicky Firasat,Indonesian footballer
Q5340825,Eduardus Halim,Indonesian musician
Q5647424,Handi Ramdhan,Footballer
Q5672018,Harry Roesli,pemusik Indonesia
Q5995672,Marcell Siahaan,pemeran laki-laki asal Indonesia
Q6028298,Indy Rahmawati,TV news presenter
Q6166010,Jawahir Thontowi,"pegawai di Kementerian Riset, Teknologi, Dan Pendidikan Tinggi"
Q6176545,Jejen Zaenal Abidin,Indonesian footballer
Q6315594,Jushar Haschja,Indonesian fencer
Q7109829,Otto Sidharta,Indonesian musician
Q7525088,Sinta Wullur,composer
Q7901816,Usep Munandar,Indonesian footballer
Q8000971,Wildansyah,Indonesian footballer
Q11080357,Paskah Suzetta,Indonesian politician
Q12470507,Aang Kunaefi,mantan gubernur Jawa Barat
Q12471518,Alissa Galliamova,penyanyi Indonesia
Q12471710,Ify Alyssa,pemeran dan penyanyi asal Indonesia
Q12483157,G.H. Mantik,Indonesian statesman
Q12484108,Gilang Angga Kusuma,Indonesian footballer
Q12485549,Hendra Suhendra,Indonesian musician
Q12493040,Kusmayanto Kadiman,politisi Indonesia
Q12498461,Meyda Sefira,pemeran perempuan asal Indonesia
Q12500343,Nena Rosier,pemeran perempuan asal Indonesia
Q12508438,Rendi Saputra,Indonesian footballer
Q12508748,Rita Effendy,Indonesian singer
Q1567500,Hadiyanto,badminton player
Q104417591,Eri Cahyadi,Wali Kota Surabaya ke-17
Q42302278,Siti Fadia Silva Ramadhanti,Pemain bulu tangkis asal Indonesia
Q84592085,Inke Maris,"jurnalis, politikus, pembawa berita asal Indonesia"
Q997544,Bubi Chen,Musisi jazz Indonesia
Q1332621,Neeltje Elizabeth Nannenga-Bremekamp,Dutch botanist and mycologist (1916-1996)
Q1657607,Diah Permatasari,Olympic fencer
Q2044208,Harry van Rappard,Dutch athletics competitor
Q2132086,Cees Fasseur,Dutch jurist and university professor
Q4829801,Awang Faroek Ishak,politisi Indonesia
Q6122258,Saykoji,rapper Indonesia
Q7611731,Stevanus Bungaran,Indonesian footballer
Q8267555,Bayu Kusuma Negara,pemeran laki-laki asal Indonesia
Q11104844,Amel Carla,pemeran perempuan asal Indonesia
Q25470298,Arpani,association football player
Q25470370,Riki Pambudi,association football player (1995-)
Q25470611,Kurniawan Kartika Ajie,association football player
Q29452656,Bryan Cesar,association football player
Q61118624,Anneth Delliecia,penyanyi dan pemeran perempuan asal Indonesia
Q12518254,Suwandi,professional Indonesian tennis player
Q12699002,Nu'man Abdul Hakim,Wakil Gubernur Jawa Barat kesepuluh
Q12709162,Shenny Andrea,pemeran perempuan asal Indonesia
Q13096793,Sarah Sechan,pemeran perempuan asal Indonesia
Q13541932,Maskoen Soemadiredja,Pahlawan Revolusi Kemerdekaan
Q14325367,Anton Soedjarwo,Indonesian chief of police
Q14917433,Rachel Maryam,pemeran perempuan asal Indonesia
Q15720138,Andi Hartono,badminton player
Q16167102,Andra Matin,Indonesian architect
Q16178320,Ghina Salsabila,pemeran perempuan asal Indonesia
Q16183100,Indra Thohir,Indonesian association football player
Q491820,Andhika Anhar,badminton player
Q1826531,Lingga Lie,badminton player
Q2361977,Rudolf den Hamer,Dutch water polo player
Q4260011,Bambang Hendarso Danuri,Kepala Kepolisian Negara Republik Indonesia ke 19
Q5084062,Charles Olke van der Plas,Dutch colonial governor in Indonesia (1891-1977)
Q5271042,Dian Irawan,Indonesian footballer
Q6003753,Imelda Fransisca,Indonesian beauty pageant contestant
Q7399919,Soekanto Tjokrodiatmodjo,Pahlawan Revolusi Kemerdekaan
Q7694033,Tedy Jusuf,Indonesian general
Q7919522,Vena Annisa,pemeran perempuan asal Indonesia
Q12472637,Ashin Jinarakkhita,Indonesian buddhist leader
Q12506459,Primus Yustisio,pemeran laki-laki asal Indonesia
Q47148864,Rehan Naufal Kusharjanto,Pemain bulu tangkis asal Indonesia
Q7414542,Muhamad Musa,
Q12482481,Endang S. Taurina,Indonesian singer
Q12488251,KH. Abdullah Bin Nuh,Indonesian Islamic scholar and poet (1905-1987)
Q14917452,Saleh Afiff,
Q25456632,Feni Fitriyanti,penyanyi Indonesia
Q16188666,Stefanny Margaretha Aay,pemeran dan penyanyi asal Indonesia
Q16727328,Arahmaiani,Indonesian artist
Q17410446,Ukar Bratakusumah,mantan gubernur Jawa Barat
Q17411478,Ade Supandi,former Indonesian admiral
Q17989190,Ricky Anggawijaya,Indonesian swimmer
Q18719831,Johanis Palar Mogea,Indonesian botanist (1947- )
Q1360712,Theo Müller,German botanist
Q1510148,Gerard Höweler,Dutch sculptor
Q2326611,Alphons Franssen Herderschee,Dutch military officer (1872-1932)
Q4119908,Abdurrahman Mohammad Fachir,Diplomat
Q12470965,Ahmad Riza Patria,Wakil Gubernur DKI Jakarta ke-15
Q12471971,Anang Ardiansyah,penyanyi dan penulis lagu Banjar
Q17410572,Hasnuryadi Sulaiman,Indonesian businessman and politician
Q13580360,Phoa Keng Hek,"Pekerja sosial, pemimpin masyarakat"
Q16150636,Ridwan Awaludin,football player
Q17410438,Bima Arya Sugiarto,Politikus Indonesia
Q18421404,Rudiantara,Menteri Komunikasi dan Informatika Indonesia
Q21395630,Djunijanti Peggie,Lepidopteris asal Indonesia
Q23664636,Christian Ronaldo Sitepu,Indonesian basketball player
Q25470556,Muhammad Riyandi,association football player
Q27942712,Theodoor de Meester,Dutch mayor (1926-2019)
Q28109087,Etie van Rees,Dutch ceramist
Q49254123,Indra Mustafa,association football player
Q5207158,Da'i Bachtiar,Kepala Kepolisian Negara Republik Indonesia ke 17
Q12488009,Johny Indo,Pemeran laki-laki dan mantan penjahat asal Indonesia
Q19745543,Baby Margaretha,pemeran perempuan asal Indonesia
Q19746198,Maria Vania,pemeran perempuan asal Indonesia
Q19747584,Carlo Saba,Indonesian singer
Q20641215,M. Natshir Mahbuby,Indonesian association football player
Q22083825,Ari Renaldi,"Indonesian music producer, arranger, mixer and musician"
Q25462384,Haedar Nashir,Indonesian Islamic scholar
Q25470246,Erwin Ramdani,association football player
Q25470316,Abdul Aziz Lutfi Akbar,Indonesian association football player
Q1492901,Sylvinna Kurniawan,pemain bulu tangkis asal Indonesia
Q1585320,Hari Fitrianto,Indonesian bicycle racer
Q1822536,Rudi Augustinus,Indonesian sculptor
Q2033067,Christiaan Frederik Staargaard,Dutch politician
Q2045604,Tjallie James,Dutch rower
Q2369834,Rudolph Lodewijk Martens,Dutch politician (1863-1917)
Q2417748,Giovanni Narcis Hakkenberg,Dutch marine
Q2881138,Errol Frank Stoové,Dutch executive (born 1947)
Q3282661,Karel Hardeman,Dutch rower (1914-2010)
Q3290847,Charles Douw van der Krap,
Q3472900,Medy Loekito,penyair Indonesia
Q3739704,Luri Dini Ayu Safitri,penyanyi Indonesia
Q4261848,Dudi Oris,Indonesian singer
Q4264899,Astrid Sartiasari,aktris dan penyanyi asal Indonesia
Q4694622,Agustiar Batubara,Indonesian soccer player
Q4790830,Aris Alfiansyah,Indonesian footballer
Q4820775,August Melasz,pemeran laki-laki asal Indonesia
Q5444286,Feri Ariawan,footballer
Q5584849,Gordon Barton,Australian Businessman and  Political Activist
Q5868634,Franky Sahilatua,Indonesian singer
Q5923087,Ita Purnamasari,penyanyi asal Indonesia
Q6122210,Sawung Jabo,Indonesian singer
Q6932675,Muhammad Rifky,Indonesian footballer
Q7109803,Otto Schiff,Dutch fencer (1892-1978)
Q7475827,Andy F. Noya,pembawa acara televisi Indonesia
Q7641890,Supaham,Indonesian footballer
Q12470443,A.Tee (7 Icons),Model dan penyanyi asal Indonesia
Q12471413,Albert C. Sutanto,Indonesian swimmer
Q12482295,Edwin,sutradara asal Indonesia
Q12486241,Ida Laila,penyanyi Indonesia
Q12508998,Rudy Choirudin,jurutama masak Indonesia
Q12514232,Siauw Giok Tjhan,politisi Indonesia
Q11121626,Tumenggung Setia Pahlawan,Pahlawan Revolusi Kemerdekaan
Q17410645,Karolin Margret Natasa,politikus Indonesia
Q17410743,Akil Mochtar,Indonesian judge
Q19351550,Chintya Fabyola,Ratu kecantikan Indonesia
Q26972965,Mychelle Crhystine Bandaso,Pemain bulu tangkis Indonesia
Q27913580,David Pohan,badminton player
Q16174166,Dedi Mulyadi,Anggota DPR RI (2019-2024)
Q16183366,Ipik Gandamana,mantan gubernur Jawa Barat
Q26972987,Priskila Siahaya,badminton player
Q97194686,Aurra Kharishma,model dan pemenang kontes kecantikan Miss Grand Indonesia 2020
Q19753036,Yoriko Angeline,pemeran perempuan dan penyanyi asal Indonesia
Q25470184,Agi Pratama,pemain sepak bola Indonesia
Q5744927,Heru Nerly,Indonesian footballer
Q12470772,Adrianus Mooy,Indonesian economist
Q12482370,El Tari,politisi Indonesia
Q19726488,Ignas Kleden,Indonesian writer
Q25470334,Alsan Putra Masat Sanda,atlet sepak bola asal Indonesia
Q31174410,Andmesh Kamaleng,penyanyi Indonesia
Q56393695,Marion Jola,penyanyi Indonesia
Q64746936,Christoffel Joseph Mooy,
Q65211779,Jefri Riwu Kore,Indonesian politician
Q110468723,Kasim Botan,Indonesian association football player
Q2950170,Max Koot,Dutch photographer
Q19953752,Jacoba van Tongeren,Dutch resistance fighter in WW II
Q25470602,Siwi Sukma Adji,
Q61054604,Ging Ginanjar,Indonesian journalist
Q68027135,James Jongeneel,American field hockey player
Q25471438,Suhandi,association football player
Q26131932,Fitri Rosdiana,pemain sepak bola asal Indonesia
Q26832581,Tedi Supriadi,badminton player
Q28155006,Phoa Liong Gie,(1904-1983)
Q28724256,Christopher Edgar,Indonesian singer
Q28911660,Hanif Abdurrauf Sjahbandi,Indonesian association football player
Q29141301,Dea Rizkita,model dan pemenang gelar kontes kecantikan Puteri Indonesia Perdamaian 2017
Q29444395,Henhen Herdiana,Pesepak bola Indonesia
Q29913718,Agung Mulyadi,Indonesian professional footballer
Q30105223,Azka Fauzi,Indonesian association football player
Q43304890,Puja Abdillah,association football player
Q49251530,Michelle Victoria Alriani,pemenang Miss Earth Indonesia 2017
Q12521583,Tintus Arianto Wibowo,Indonesian tennis player
Q12523653,Verlita Evelyn,pemeran perempuan asal Indonesia
Q12524555,Wimar Witoelar,Indonesian journalist
Q13136479,John Eric Banck,Dutch poet
Q15517052,Dedi Iman,footballer
Q15694473,Carolina Anna Teixeira de Mattos,Belgian painter (1868-1940)
Q15943352,Gitte Spee,Dutch children's books illustrator
Q16069750,Thijs Staverman,
Q16177044,Felix C. Sutanto,Indonesian swimmer
Q16188679,Marissa Anita,"jurnalis, pembawa acara, dan pemeran Indonesia."
Q17411220,Salim bin Djindan,Ulama
Q17411688,Bonit Wiryawan,Indonesian tennis player (1968-)
Q19577631,Satriyo Rahadhani,Olympic taekwondo practitioner
Q6044310,Noe,Indonesian singer (1979-)
Q6543880,Slamet Muljana,Indonesian historian (1929-1986)
Q7154616,Paul van Tienen,Dutch criminal (1921-1995)
Q9097601,Bagoes Hadikoesoemo,Pahlawan Revolusi Kemerdekaan
Q11193057,Djaduk Ferianto,pemeran laki-laki asal Indonesia
Q12488069,Joop Ave,Indonesian politician
Q12497091,Marisa Sartika Maladewi,Indonesian model
Q12515748,Soedjiman,Indonesian governor
Q5350263,Eka Santika,Indonesian footballer
Q7417932,Rionaldo Stockhorst,pemeran laki-laki asal Indonesia
Q12478651,Christiandy Sanjaya,politisi Indonesia
Q16165561,Alam,Indonesian singer
Q25470594,Imam Arief Fadillah,association football player
Q27793270,Panji Ahmad Maulana,Indonesian badminton player
Q12485153,Hamdan Zoelva,politisi Indonesia
Q15631224,Rossy Noprihanis,Indonesian footballer
Q19840716,Hans Brandenberger,Swiss artist (1912-2003)
Q24261467,Anwar Usman,hakim Indonesia
Q27061548,Andika Eka Putra,
Q49255869,Zulkieflimansyah,Gubernur Nusa Tenggara Barat
Q12472029,Andika Naliputra Wirahardja,Indonesian musician
Q12472057,Andrew Andika,pemeran laki-laki asal Indonesia
Q12478452,Cellica Nurrachadiana,dokter dan politisi Indonesia
Q12481044,David Kurnia Albert,pemain kibor Indonesia
Q58732045,Hanifan Yudani Kusumah,Pesilat Indonesia
Q61119051,Yana Mulyana,Indonesian politician
Q62692135,Beckham Putra Nugraha,Indonesian footballer
Q63018181,Muhammad Shohibul Fikri,Indonesian badminton player
Q69711711,Sufmi Dasco Ahmad,Indonesian politician and businessman
Q12488198,Junot,pemeran laki-laki asal Indonesia
Q16178393,Eza Gionino,pemeran laki-laki asal Indonesia
Q85993256,Nicke Widyawati,Indian businesswoman
Q109323426,Aria Wangsakara,pahlawan nasional Indonesia
Q16505563,Hayu,anak ke-4 Hamengkubuwana X dan Ratu Hemas
Q18507685,Adolf Broese van Groenou,Dutch architect
Q18619301,Els van den Horn,Olympic diver (1927-1996)
Q28723993,Bagas Adi Nugroho,association football player
Q31173397,Wregas Bhanuteja,sutradara laki-laki asal Indonesia
Q56600502,Ade Candra Rachmawan,Indonesian beach volleyball player
Q67565717,Aswismarmo,Indonesian military personnel
Q85993009,Muhammad Sangidu,Kepala Penghulu Kesultanan Ngayogyakarta Hadiningrat ke-13
Q97214286,Siti Munjiyah,Anggota Kongres Perempuan Pertama Indonesia
Q99520704,Dadang Suprayogi,Indonesian military officer and politician
Q303467,Theo Uden Masman,Dutch pianist and bandleader
Q6938096,Fuad Muhammad Syafruddin,Indonesian journalist
Q7049969,Nopendi,footballer
Q14914364,Tugiyati Cindy,pemain sepak bola asal Indonesia
Q15710784,Estelita Liana,"model, dokter dan pemenang gelar kontes kecantikan Puteri Indonesia Lingkungan 2014"
Q16724323,Maretha Dea Giovani,pemain bulu tangkis asal Indonesia
Q58656067,Yosep Anggi Noen,sutradara film dan penulis asal Indonesia
Q58766090,Lisa Ayu Kusumawati,pemain bulu tangkis Indonesia
Q15445426,Fauzie As’ad,Indonesian painter
Q16165013,Airin Rachmi Diany,Politikus Indonesia
Q18421433,Stefanny Eveline,anggota girlband Teenebelle
Q13095879,Peggy Melati Sukma,pemeran perempuan asal Indonesia
Q18421320,Rusdi Kirana,Pengusaha dan politisi asal Indonesia
Q1682942,Natalia Poluakan,pemain bulu tangkis asal Indonesia
Q4262747,Ben Joshua,pemeran laki-laki asal Indonesia
Q4798757,Arthur Frets Assa,Indonesian footballer
Q5836683,Ermy Kullit,penyanyi perempuan asal Indonesia
Q6437720,Kristania Virginia Besouw,Beauty pageant winner
Q6732793,Mahadirga Lasut,Pemain Sepak Bola Indonesia
Q6766137,Mariët Dommers,Olympic diver
Q12479731,Daan Mogot,Pahlawan Revolusi Kemerdekaan
Q15215796,Novia Indriani Mamuaja,model dan ratu kecantikan asal Indonesia
Q16188298,Lodewijk Freidrich Paulus,Wakil Ketua Dewan Perwakilan Rakyat Republik Indonesia sejak 2021
Q25470608,Wahyudi Setiawan Hamisi,association football player (1997-)
Q2214171,Lo van Hensbergen,Dutch actor (1917-1987)
Q5658466,Adrianus Dirk Jacob Meeuse,Dutch botanist (1914-2010)
Q12485576,Herfiza Novianti,pemeran perempuan asal Indonesia
Q12507234,Purie Andriani,Indonesian singer
Q15998304,Tan Boen Soan,Sukarno proclaimed
Q19724081,Tissa Biani,pemeran perempuan asal Indonesia
Q19725631,Eriyanto,association football player
Q20278400,Fakhiryani Shafariyanti,penyanyi Indonesia
Q55760011,Juprianto Alexander,association football player
Q96741443,Vidya Rafika Toyyiba,Indonesian sport shooter
Q4204664,Elvis Nelson Anes,Indonesian footballer
Q22888908,Kezia Warouw,model dan pemenang kontes kecantikan Puteri Indonesia 2016
Q46994908,Ivhanrel Sumerah,Indonesian journalist
Q52087491,Bahar bin Smith,pendakwah Indonesia
Q97095899,Augustine Magdalena Waworuntu,Indonesian politician
Q4263173,Ray Sahetapy,pemeran laki-laki asal Indonesia
Q12471498,Ali Yafie,Indonesian Islamic religious leader
Q12471813,Aminuddin Ponulele,Indonesian politician (1939-2021)
Q53741369,Aspar Jaelolo,
Q72982690,Shaleh Muhamad Aldjufri,Politikus
Q25466161,Indra Yasin,Indonesian politician
Q17410673,Vicky Lumentut,Indonesian politician
Q20668400,Willy Lasut,Pahlawan Revolusi Kemerdekaan
Q25470607,Gianluca Claudio Pandeynuwu,Pesepakbola asal Indonesia yang bermain untuk Borneo FC
Q28724408,Nadjamuddin Daeng Malewa,East Indonesian politician (1907 – 1950)
Q1206894,Devin Lahardi Fitriawan,badminton player
Q4262984,Connie Sutedja,pemeran perempuan asal Indonesia
Q7279546,Rachmat Witoelar,Politikus berkebangsaan Indonesia
Q7418966,Sansan Fauzi Husaeni,Indonesian footballer
Q11186880,Diky Candra,pemeran laki-laki asal Indonesia
Q12515834,Solihin G. P.,mantan gubernur Jawa Barat
Q13098305,Vety Vera,Indonesian singer and actress
Q13634221,Ebet Kadarusman,pemeran laki-laki asal Indonesia
Q26997990,Piet Metman,Dutch swimmer (1916-1990)
Q51879201,Choiril Hidayat,Indonesian association football player
Q55452404,Pramudya Kusumawardana,Pemain bulu tangkis asal Indonesia
Q56809134,Sani Rizki Fauzi,association football player
Q12471812,Amin Syam,Indonesian politician
Q12472506,Arnold Achmad Baramuli,pengusaha dan politikus Indonesia
Q12519869,Tanribali Lamo,
Q17410750,Irvan Mofu,Indonesian association football player
Q19752868,Amran Sulaiman,Indonesian businessman and politician
Q25470175,Hendri Satriadi,association football player
Q25470235,Wasyiat Hasbullah,association football player
Q31172893,Ferdy Sambo,Mantan anggota Kepolisian Indonesia
Q47035449,Irfan Jaya,pesepakbola Indonesia
Q49252587,Andi Sudirman Sulaiman,Indonesian politician
Q110485323,Rafli Asrul,Indonesian footballer
Q61055308,Muhammad Alhamid,akademikus
Q61118518,Aisyah Aqilah,Pemeran perempuan asal Indonesia
Q105122093,Ihwan Datu Adam,Indonesian politician
Q16183598,Irvin Museng,Indonesian footballer
Q17998043,Beddu Amang,Indonesian economist
Q43303642,Muhammad Arfan,Pemain sepak bola Indonesia
Q50962562,Otto Cornelis Kaligis,Senior Advocad
Q4262392,Frans Tumbuan,pemeran laki-laki asal Indonesia
Q4263309,Andi Meriem Matalatta,Artis dari Indonesia
Q4700435,Akbar Rasyid,Indonesian national footballer
Q6085165,Isnan Ali,Indonesian footballer
Q7125314,Pajonga Daeng Ngalie Karaeng Polongbangkeng,Pahlawan Revolusi Kemerdekaan
Q7638859,Sunar Sulaiman,Indonesian footballer
Q9009957,Ismi Azis,pemeran dan penyanyi perempuan asal Indonesia
Q10495741,Rachmat Latief,Indonesian footballer
Q10530783,M. Rahmat,footballer
Q11206636,Dea Mirella,Indonesian pop singer
Q12485315,Harifin A. Tumpa,Ketua Mahkamah Agung Republik Indonesia
Q12498763,Mohammad Laica Marzuki,Indonesian judge
Q12485443,Hatta Ali,Ketua Mahkamah Agung Republik Indonesia
Q12518358,Sjarifuddin Hasan,Indonesian politician
Q27733971,Aswanto,hakim Mahkamah Konstitusi Republik Indonesia
Q2759953,Theodoor van Erp,painter (1874-1958)
Q11107682,Chris Pattikawa,sutradara film Indonesia
Q12523595,Utha Likumahuwa,penyanyi asal Indonesia
Q16773547,Albertina Ho,hakim Indonesia
Q19723884,Alqomar Tehupelasury,association football player (1995-)
Q25470281,Ambrizal Umanailo,association football player
Q105825186,Max Sopacua,Indonesian politician (born 1946-2021 in Ambon)
Q12500342,Nemo Bahari,boxer
Q16731948,Ida Bagus Rai Dharmawijaya Mantra,Walikota Denpasar
Q17410870,Novinta Dhini,pemeran Indonesia
Q19726438,I Nyoman Sukarja,association football player
Q24284595,I Gusti Ngurah Made Agung,Pahlawan Revolusi Kemerdekaan
Q25456631,Ni Made Ayu Vania Aurellia,penyanyi Indonesia
Q39161255,Listianto Raharjo,association football player
Q3380680,Nataraja Ramakrishna,"dance teacher from Andhra Pradesh, India (1923–2011)"
Q5856346,Saras Dewi,Indonesian singer
Q5978655,Ngurah Komang Arya,Indonesian footballer
Q5979721,I Wayan Suweca,Indoensian musician
Q6932896,Muhammadan,Indonesian footballer
Q7071231,Nyoman Rudana,politisi Indonesia
Q10406348,I Gusti Ngurah Bayu Sutha,Indonesian footballer
Q12472923,Ayu Diandra Sari,Indonesian model
Q12486238,Ida Bagus Putu Dunia,Chief of the Air Staff of the Indonesian Air Force
Q13637491,Ida Bagus Mantra,politisi Indonesia
Q14864312,Cok Istri Krisnanda Widani,Model Indonesia
Q17410973,Putu Gede Juni Antara,Indonesian footballer
Q19646488,Made Wianta,Indonesian artist
Q19751908,I Dewa Gede Palguna,Ahli Hukum Tata Negara dan Hakim Konstitusi Indonesia
Q25470327,Felsianus Junius R. Bate,indonesia association football player
Q56398777,Tjokorda Oka Artha Ardana Sukawati,Wakil Gubernur Bali (2018-2023)
Q60516785,I Gusti Bagus Oka,Gubernur Bali
Q64513263,Pengiran Indera Makhota,
Q87740090,Raka Rasmi,Balinese dancer
Q7283503,Rahmat Rivai,Indonesian footballer
Q8075106,Zulchrizal Abdul Gamal,Indonesian footballer
Q12486239,Ida Bagus Sudjana,
Q16184141,Jacob Pattipi,gubernur Irian Jaya ke-10
Q19351340,Gresya Amanda Maaliwuga,Model
Q19731772,Safrudin Tahar,association football player
Q22721738,Rudi Wairata,musical artist
Q25470385,Nerius Alom,association football player
Q25470634,Hendra Mole,Indonesian association football player
Q54611748,Saddam Hi Tenang,association football player
Q55081565,Gunansar Mandowen,pemain sepak bola Indonesia
Q56399754,Burhan Abdurahman,politikus Indonesia
Q85561779,Michael Rumere,Indonesian association footballer
Q97307143,Iskandar Muhammad Djabir Sjah,Pahlawan Revolusi Kemerdekaan
Q5171366,Cornelius Geddy,Indonesian footballer
Q6003356,Imanuel Permenas Padwa,Indonesian footballer
Q6113520,Jack Komboy,Indonesian footballer
Q6432299,Korinus Fingkreuw,Indonesian footballer
Q6757583,Marco Kabiay,Indonesian footballer
Q10513475,Steven Hendambo,Indonesian footballer
Q16180876,Herman Asaribab,perwira tinggi TNI-AD
Q25470224,Boas Atururi,association football player (1990-)
Q52151637,Ronaldo Wanma,Pemain sepak bola Indonesia
Q58836600,Israel Wamiau,Indonesian Footballer
Q108314104,Ramai Rumakiek,Indonesian footballer
Q11042410,Muhammad Ilham Fauzi,actor
Q12482271,Eddy Sabara,Politisi
Q4778010,Anwar Adnan Saleh,politisi Indonesia
Q6073933,Irsyad Aras,Indonesian footballer
Q16337336,Charlie Depthios,Indonesian weightlifter
Q108284475,Edgard Amping,Indonesian association footballer
Q5511990,G.A. Siwabessy,Indonesian politician (1914-1982)
Q7911061,Valentino Telaubun,footballer
Q12497163,Martinus Putuhena,
Q67205773,Melkias Agustinus Pellaupessy,Indonesian civil servant
Q25470638,Kalvin Wopi,association football player
Q5818841,Edo Kondologit,pemeran laki-laki asal Indonesia
Q6987797,Nehemia Solossa,Indonesian footballer
Q25470218,Ronaldo Meosido,association football player
Q28600070,S. Olvah Alhamid,model Indonesia
Q30069926,Friska Womsiwor,pemain sepak bola Indonesia
Q3747087,Salman Yoga S,Penyair Indonesia
Q12494572,Lesik Kati Ara,Indonesian writer
Q12500214,Nazaruddin Sjamsuddin,Pemilihan
Q12515200,Sindoesoedarsono Soedjojono,Pahlawan Revolusi Kemerdekaan
Q28723779,Nurhajizah Marpaung,Indonesian military officer and politician
Q4838924,Bachtiar Chamsyah,politisi Indonesia
Q17410723,Ismail Hassan Metareum,Indonesian politician
Q12485046,Hadi Thayeb,pahlawan nasional Indonesia
Q25465997,Sutan Mohammad Amin Nasution,pahlawan nasional Indonesia
Q105162765,Abdul Hamid Mahmud,politisi indonesia
Q12515745,Soedarpo Sastrosatomo,pebisnis Indonesia
Q66821106,Lo van Wachem,Dutch businessman (1931–2019)
Q4260454,Abdul Aziz Angkat,politisi Indonesia
Q5395763,Ersa Siregar,Indonesian journalist
Q7131933,Pantur Silaban,"fisikawan, ilmuwan teori relativitas"
Q16162516,Abdul Wahab Dalimunthe,politikus Indonesia
Q51845165,Gusti Sandria,association football player
Q68462553,Nerus Ginting Suka,Indonesian politician
Q99237618,Sahala Hamonangan Simatupang,
Q6265621,John De Rantau,Direktor film Indonesia
Q12482854,Feisal Tanjung,tokoh militer Indonesia
Q12515736,Sodjuangon Situmorang,birokrat Indonesia
Q15101373,A. M. Sipahoetar,Indonesian journalist (1914-1948)
Q24284585,Albert Mangaratua Tambunan,Chairman and general secretary of the Indonesian Christian Party
Q5296733,Donny Fernando Siregar,Indonesian footballer
Q12484984,Gusti Asnan,Indonesian historian
Q19744419,Tuanku Nan Tuo,
Q7363251,Rommy Diaz Putra,Indonesian footballer
Q16044840,Jumaldi Alfi,Indonesian painter
Q19725322,Deslenda,Indonesian dancer
Q16182883,Imron Rosyadi,politisi
Q12496239,Makmun Murod,Indonesian diplomat
Q25469690,Johan Anuar,politikus
Q16180910,Herman Deru,Indonesian politician
Q56399371,Percha Leanpuri,Indonesian politician (1986-2021)
Q2193294,Lucien Adam,Dutch East Indies statesman
Q16170320,Basuri Tjahaja Purnama,"Indonesian politician, former regent of East Belitung Province"
Q25465320,Nurdin Basirun,Indonesian politician
Q12472699,Asri Welas,pemeran perempuan dan penari asal Indonesia
Q19745769,Dede Rosyada,Indonesian academic
Q25463794,Mochammad Dicky Indrayana,association football player
Q5298156,Dorodjatun Kuntjoro-Jakti,politisi Indonesia
Q12486822,Ismet Iskandar,Politikus
Q12472208,Anna Maria  Marten,model berkebangsaan Indonesia
Q12472625,Asep Kambali,An Indonesia historian; History-preneur; Lecturer; Public speaker; History Consultant.
Q89485798,Djumhana Wiriaatmadja,sundanese aristocrat and politician
Q6215176,Johan Juansyah,Indonesian footballer
Q12478007,Burhanuddin Abdullah,Indonesian economist
Q17118006,Wing Karjo,Indonesian poet
Q25470307,Asep Budi Santoso,association football player
Q51754247,Roni Fatahillah,Pemain sepak bola Indonesia
Q94293339,Martinus Abednego,politikus
Q12496622,Mang Koko,seniman Sunda
Q2746457,Justus Pieter de Veer,Dutch painter (1845-1921)
Q1960981,Tom Veen,Dutch politician (1942-2014)
Q2177391,Henk Rijnders,Dutch rower (1904-1979)
Q2259009,Mauritz Christiaan Kokkelink,Dutch military personnel (1913-1994)
Q7649900,Sutanto,Kepala Kepolisian Negara Republik Indonesia ke 18
Q13097947,Ki Timbul Hadiprayitno,seniman dalang Indonesia
Q108732518,Paul Alex Blaauw,Civil servant in the Netherlands Indies
Q1895820,Maria Elfira Christina,pemain bulu tangkis asal Indonesia
Q2049255,Cornelis Dusseldorp,Dutch rower
Q6771426,Ahmad Mahrus Bachtiar,Indonesian footballer
Q8901496,Martha Tilaar,pengusaha Indonesia
Q12499431,Mukti Ali,politisi Indonesia
Q12500067,Nani Soedarsono,politikus Indonesia
Q13520165,Martono,Indonesian politician
Q16164117,Agung Supriyanto,Indonesian footballer
Q19744432,Tugiyo,Indonesian footballer
Q28724334,Muhammad Rio Saputra,atlet sepak bola asal Indonesia
Q78573901,Sastromoeljono,
Q6684408,Syamsul Mu'arif,Indonesian politician
Q11196055,Djohan Effendi,Indonesian politician
Q12499404,Muhidin,Mantan Walikota Banjarmasin sekaligus Wakil Gubernur Kalimantan Selatan ke 6
Q25469637,Sugianto Sabran,Indonesian politician (born 1973)
Q6079487,Isdiantono,Indonesian footballer
Q6147502,Titi Qadarsih,pemeran perempuan asal Indonesia
Q28355695,Muhammad Kholil al-Bangkalani,ulama tarekat Qadiriyah wa Naqsyabandiyah
Q53234283,Ayik Umar Said,Indonesian-born French journalist and activist (1928-2011)
Q87370905,Dadang Apridianto,Indonesian footballer
Q16323945,Ahmad Amiruddin,ahli kimia nuklir Indonesia
Q2154713,Putu Wiradamungga,Indonesian judoka
Q4750955,Anak Agung Gde Sobrat,artist
Q7810633,Tjokorda Raka Sukawati,Indonesian engineer
