Q221310,Anggun C. Sasmi,penyanyi-penulis lagu Indonesia-Prancis
Q731979,Nova Widianto,badminton player
Q58290,Marty Natalegawa,Menteri Luar Negeri Indonesia ke-17
Q4131328,Rossa,penyanyi Indonesia
Q290581,Xaviera Hollander,Dutch prostitute
Q731914,Sony Dwi Kuncoro,Indonesian badminton player
Q1392969,I Gusti Ngurah Rai,pahlawan nasional Indonesia
Q4263230,Anies Baswedan,Gubernur Daerah Khusus Ibukota Jakarta dari 2017 sampai sekarang
Q2327343,Mohammad Natsir,pahlawan nasional Indonesia
Q1810083,Amir Sjarifoeddin,pahlawan nasional Indonesia
Q68582,Ilse Werner,German actress (1921-2005)
Q738677,Chris John,Petinju asal Indonesia
Q3089681,Usmar Ismail,pahlawan nasional Indonesia
Q1051041,Nh. Dini,"sastrawan, novelis, dan feminis asal Indonesia"
Q334810,Abu Bakar Ba'asyir,Tokoh Islam di Indonesia
Q2367329,Jenderal Soedirman,pahlawan nasional Indonesia
Q1393679,Hendrawan,Indonesian badminton player and coach
Q4263053,Yuki Kato,pemeran perempuan asal Indonesia
Q441699,Tania Gunadi,pemeran perempuan asal Amerika Serikat
Q719320,Tony Gunawan,badminton player
Q2007313,Jan Just Bos,"Dutch rower, botanist and TV presenter (1939-2003)"
Q2145886,Rudy Hartono,Indonesian badminton player
Q732000,Candra Wijaya,badminton player
Q7475947,Syahrini,Penyanyi wanita Indonesia
Q97192066,Rahmat Erwin Abdullah,Indonesian weightlifter (born 2000)
Q920361,Dik Esser,field hockey player (1918-1979)
Q1229813,Rexy Mainaky,badminton player
Q1771129,Sultan Agung dari Mataram,Sultan dari Mataram dan pahlawan nasional Indonesia
Q2605467,Adrianus de Jong,Dutch fencer
Q1334387,Vasily Pavlovich Rochev,cross-country skier
Q375774,Iskandar Muda dari Aceh,Pahlawan Revolusi Kemerdekaan
Q431353,Triyatno,atlet angkat besi Indonesia
Q591530,Musdah Mulia,"aktivis perempuan, peneliti, konselor, dan penulis di bidang keagamaan (Islam) di Indonesia"
Q680490,Ruurd Leegstra,Dutch rower (1877-1933)
Q936816,Gita Gutawa,pemeran perempuan asal Indonesia
Q957483,Ali Alatas,diplomat Indonesia
Q1350057,Utut Adianto,Indonesian chess grandmaster and politician
Q1413862,Corrie Laddé,Dutch swimmer
Q3040291,Nurfitriyana Saiman,pemanah perempuan asal Indonesia
Q3237077,Bunga Citra Lestari,penyanyi dan pemeran perempuan asal Indonesia
Q3502322,Mari Elka Pangestu,"Menteri Pariwisata dan Ekonomi Kreatif Indonesia ke-10, Menteri Perdagangan Indonesia ke-26"
Q2058688,Frans Alfred Meeng,pemain sepak bola Hindia Belanda
Q7441028,Sean Gelael,Pembalap Mobil
Q1341683,Eng Hian,Indonesian badminton player
Q2046283,Sapardi Djoko Damono,penyair Indonesia
Q4917827,Krisdayanti,penyanyi dan pemeran perempuan asal Indonesia
Q3940192,Rohit Chand,Pesepakbola Nepal
Q2670453,Djoeanda Kartawidjaja,pahlawan nasional Indonesia
Q489213,Edu Snethlage,Dutch footballer (1886-1941)
Q1335187,Justinus Darmojuwono,Kardinal Katolik Roma
Q19974584,Lukman Niode,perenang Indonesia
Q1347236,Jan Gualtherus van Breda Kolff,Dutch footballer (1894-1976)
Q77996,Friedrich Carl Andreas,German orientalist and linguist
Q457756,Raema Lisa Rumbewas,atlet angkat besi asal Indonesia
Q1049695,Tia Tanaka,American pornographic actress
Q2128765,Ismail Marzuki,komponis dan penulis lagu Indonesia
Q15990566,Aleta Baun,Aktivis Llingkungan
Q81199676,Reynhard Sinaga,pelaku kriminal Indonesia
Q176412,Gesang,penyanyi-pencipta lagu Indonesia
Q425634,Wynne Prakusya,pemain tenis asal Indonesia
Q2067820,W. S. Rendra,penyair dan pemeran asal Indonesia
Q4201169,Tien Soeharto,Pahlawan Revolusi Kemerdekaan
Q5645435,Prof. Dr. Hamka,"ulama, wartawan, sastrawan"
Q3503054,Mohammad Yamin,pahlawan nasional Indonesia
Q1966045,Christine Marie Berkhout,ahli biologi asal Kerajaan Belanda
Q961856,Ricky Subagja,badminton player
Q2042915,André Boerstra,Dutch field hockey player
Q5262511,Sherina Munaf,penyanyi dan pemeran perempuan asal Indonesia
Q524312,Nitya Krishinda Maheswari,pemain bulu tangkis asal Indonesia
Q6116223,Roekiah,pemeran perempuan asal Indonesia
Q1352833,Just Göbel,Dutch footballer (1891-1984)
Q1352954,Johan Adolph Frederik Kok,Dutch footballer (1889-1958)
Q1282508,Johan Wilhelm Eduard Sol,Dutch footballer (1881-1965)
Q3085419,Lilies Handayani,pemanah perempuan asal Indonesia
Q4200758,Ani Yudhoyono,Ibu Negara Republik Indonesia ke-6
Q76344,Hamzah Haz,Wakil Presiden Indonesia ke-9
Q55441062,Lalu Muhammad Zohri,pelari Indonesia
Q1427090,Flandy Limpele,badminton player
Q3085192,Kusuma Wardhani,pemanah perempuan asal Indonesia
Q203527,Nicolaas Jan Jerôme Bouvij,Dutch footballer (1892-1957)
Q2648661,Teuku Umar,Pahlawan Revolusi Kemerdekaan
Q983087,Nazril Irham,penyanyi Indonesia
Q3140305,Dewi Sartika,Pahlawan Revolusi Kemerdekaan
Q979967,Hermawan Susanto,badminton player
Q1052659,Cees ten Cate,Dutch footballer (1890-1972)
Q1283081,Eddy Hartono,badminton player
Q11713880,Irene Kharisma Sukandar,pecatur Indonesia
Q15646541,Puan Maharani,politisi Indonesia
Q704791,Leo Bosschart,Dutch footballer (1888-1951)
Q4264466,Malahayati,Pahlawan Revolusi Kemerdekaan
Q1352820,Frans de Bruijn Kops,Dutch footballer (1886-1979)
Q954295,John Juanda,American-Indonesian poker player
Q2083488,Ben Verweij,Dutch footballer (1895-1951)
Q26838133,Aldila Sutjiadi,Pemain tenis Indonesia
Q76306,Umar Wirahadikusumah,politisi Indonesia
Q71619,Wilhelm Homberg,Alkimiawan Belanda
Q202355,Arthur van Schendel,Dutch writer
Q336042,Aburizal Bakrie,politikus dan pebisnis Indonesia
Q485781,Ananda Mikola,Pembalap mobil profesional dan pemeran laki-laki asal Indonesia
Q816446,Bernard Bot,Dutch diplomat
Q1862046,Rob Slotemaker,Dutch racing driver
Q4201140,Taufiq Kiemas,politikus Indonesia
Q52586206,Niki,penyanyi dan penulis lagu Indonesia
Q4374536,Maudy Ayunda,penyanyi Indonesia
Q5113178,Christopher Rungkat,Indonesian tennis player
Q2614742,Julius Theodoor Ancion,field hockey player (1924-2011)
Q2094298,Rudy Gunawan,badminton player
Q2367341,Albertus Soegijapranata,uskup Indonesia
Q392335,Nafa Urbach,pemeran perempuan asal Indonesia
Q2670449,Taufiq Ismail,"penyair, penulis, dan aktivis"
Q452839,Wybo Veldman,New Zealand rower
Q76317,Soedharmono,Wakil Presiden Indonesia ke-5
Q1177170,David Wijnveldt,Dutch footballer (1891-1962)
Q2467467,André Joseph Guillaume Henri Kostermans,Dutch botanist (1907-1994)
Q30945670,Zhong Chenle,Chinese singer and actor
Q1953315,Munir Said Thalib,Politisi Indonesia
Q5262520,Nike Ardilla,penyanyi dan pemeran perempuan asal Indonesia
Q818410,Benyamin Sueb,pemeran laki-laki asal Indonesia
Q580563,Inul Daratista,penyanyi Indonesia
Q1209725,Richard MacNeill,Dutch footballer (1898-1963)
Q3141350,Jodi Ann Paterson,pemeran perempuan asal Amerika Serikat
Q977126,Hein ter Poorten,Dutch general
Q1755541,Suzanna,pemeran perempuan asal Indonesia
Q2179883,Herman Meyboom,Belgian water polo player
Q4695259,Ahmad Albar,penyanyi asal Indonesia
Q1522399,Walter Thijssen,Dutch rower
Q1352122,Miel Mundt,Dutch footballer (1880-1949)
Q5111696,Luna Maya,pemeran perempuan asal Indonesia
Q2784089,Pattimura,Pahlawan Revolusi Kemerdekaan
Q1755191,Sutan Takdir Alisjahbana,sastrawan Indonesia
Q520550,Henricus Tromp,Dutch rower (1878-1962)
Q12507726,Raisa Andriana,penyanyi Indonesia
Q14978306,Jonatan Christie,Indonesian badminton player
Q732439,Hasan Muhammad di Tiro,pendiri Gerakan Aceh Merdeka
Q508725,Rachel Blakely,Australian actress
Q400815,Dukun AS,Ahmad Suradji
Q1036773,Carl Anton Wilhelm Hirschmann,"Banker, General Secretary of FIFA (1877-1951)"
Q2001344,Artika Sari Devi,pemeran perempuan asal Indonesia
Q4755130,Andrea Hirata,penulis Indonesia
Q2992817,Ahmad Yani,pahlawan nasional Indonesia
Q4992140,Rosihan Anwar,"Jurnalis, editor, dan penulis kontemporer Indonesia"
Q2509252,Hamengkubuwana II,sultan Yogyakarta
Q468329,Vita Marissa,mantan pemain bulu tangkis asal Indonesia
Q517317,Rano Karno,politikus dan pemeran laki-laki asal Indonesia
Q973183,Rein van Bemmelen,Dutch geologist (1904-1983)
Q1752594,Tommy Sugiarto,Indonesian badminton player
Q2746623,Dian Sastrowardoyo,pemeran perempuan asal Indonesia
Q707282,Lo Lieh,pemeran laki-laki asal Indonesia
Q6761642,Maria Ulfah Santoso,mantan Menteri Sosial pada Kabinet Sjahrir II dan anggota BPUPKI
Q9015409,Rachel Amanda,pemeran perempuan asal Indonesia
Q289858,Soekiman Wirjosandjojo,Perdana Menteri Indonesia ke-6
Q183581,Hassan Wirajuda,Politikus
Q2978474,Abdoel Halim,politisi Indonesia
Q909047,Dorce Gamalama,penyanyi dan pelawak Indonesia
Q5431566,Fakih Usman,politisi Indonesia
Q706168,Conrad Helfrich,Dutch Luitenant-Admiraal of World War II
Q3294779,Hasri Ainun Habibie,Ibu Negara Indonesia ke-3
Q3353214,Emile Duson,field hockey player
Q85994941,Tiara Andini,penyanyi dan pemeran perempuan asal Indonesia
Q97307421,Happy Asmara,penyanyi-penulis lagu Indonesia
Q454136,Liesbeth List,Dutch singer
Q643644,Johan Fabricius,"Dutch writer, journalist and adventurer"
Q3505523,Budi Sudarsono,Indonesian footballer
Q6641514,Afgansyah Reza,penyanyi Indonesia
Q11310259,Jan Ruff O'Herne,Dutch-Australian human rights activist campaigning against war rape
Q76333,Try Sutrisno,Wakil Presiden Indonesia ke-6
Q639329,Meinoud Rost van Tonningen,Dutch Nazi (1894-1945)
Q2204754,Roderick Rijnders,Dutch rower
Q11213850,Indriati Iskak,pemeran perempuan asal Indonesia
Q4250968,Achmad Soebardjo,Pahlawan Revolusi Kemerdekaan
Q4699763,Ajip Rosidi,pengarang Indonesia
Q459474,Widya Saputra,presenter televisi Indonesia
Q545750,Dries Holten,Dutch singer and songwriter (1936-2020)
Q465053,Tri Kusharyanto,badminton player
Q2669336,Garin Nugroho,sutradara film Indonesia
Q4695300,Ahmad Dahlan,"ulama Indonesia, pendiri Muhammadiyah"
Q1806448,Antonius Colenbrander,Dutch equestrian
Q28962233,Robertus Rubiyatmoko,21st-century Indonesian Catholic bishop
Q2826050,Affandi,pelukis Indonesia
Q5653028,Happy Salma,pemeran perempuan asal Indonesia
Q5629065,Hans Bague Jassin,Pahlawan Revolusi Kemerdekaan
Q2915833,Untung Suropati,Pahlawan Revolusi Kemerdekaan
