Q2670453,pahlawan nasional Indonesia
Q489213,Dutch footballer (1886-1941)
Q1335187,Kardinal Katolik Roma
Q19974584,perenang Indonesia
Q1347236,Dutch footballer (1894-1976)
Q77996,German orientalist and linguist
Q457756,atlet angkat besi asal Indonesia
Q1049695,American pornographic actress
Q2128765,komponis dan penulis lagu Indonesia
Q15990566,Aktivis Llingkungan
Q81199676,pelaku kriminal Indonesia
Q176412,penyanyi-pencipta lagu Indonesia
Q425634,pemain tenis asal Indonesia
Q2067820,penyair dan pemeran asal Indonesia
Q4201169,Pahlawan Revolusi Kemerdekaan
Q5645435,"ulama, wartawan, sastrawan"
Q3503054,pahlawan nasional Indonesia
Q1966045,ahli biologi asal Kerajaan Belanda
Q961856,badminton player
Q2042915,Dutch field hockey player
Q5262511,penyanyi dan pemeran perempuan asal Indonesia
Q524312,pemain bulu tangkis asal Indonesia
Q6116223,pemeran perempuan asal Indonesia
Q1352833,Dutch footballer (1891-1984)
Q1352954,Dutch footballer (1889-1958)
Q1282508,Dutch footballer (1881-1965)
Q3085419,pemanah perempuan asal Indonesia
Q4200758,Ibu Negara Republik Indonesia ke-6
Q76344,Wakil Presiden Indonesia ke-9
Q55441062,pelari Indonesia
Q1427090,badminton player
Q3085192,pemanah perempuan asal Indonesia
Q203527,Dutch footballer (1892-1957)
Q2648661,Pahlawan Revolusi Kemerdekaan
Q983087,penyanyi Indonesia
Q3140305,Pahlawan Revolusi Kemerdekaan
Q979967,badminton player
Q1052659,Dutch footballer (1890-1972)
Q1283081,badminton player
Q11713880,pecatur Indonesia
Q15646541,politisi Indonesia
Q704791,Dutch footballer (1888-1951)
Q4264466,Pahlawan Revolusi Kemerdekaan
Q1352820,Dutch footballer (1886-1979)
Q954295,American-Indonesian poker player
Q2083488,Dutch footballer (1895-1951)
Q26838133,Pemain tenis Indonesia
Q76306,politisi Indonesia
Q71619,Alkimiawan Belanda
Q202355,Dutch writer
Q336042,politikus dan pebisnis Indonesia
Q485781,Pembalap mobil profesional dan pemeran laki-laki asal Indonesia
Q816446,Dutch diplomat
Q1862046,Dutch racing driver
Q4201140,politikus Indonesia
Q52586206,penyanyi dan penulis lagu Indonesia
Q4374536,penyanyi Indonesia
Q5113178,Indonesian tennis player
Q2614742,field hockey player (1924-2011)
Q2094298,badminton player
Q2367341,uskup Indonesia
Q392335,pemeran perempuan asal Indonesia
Q2670449,"penyair, penulis, dan aktivis"
Q452839,New Zealand rower
Q76317,Wakil Presiden Indonesia ke-5
Q1177170,Dutch footballer (1891-1962)
Q2467467,Dutch botanist (1907-1994)
Q30945670,Chinese singer and actor
Q1953315,Politisi Indonesia
Q5262520,penyanyi dan pemeran perempuan asal Indonesia
Q818410,pemeran laki-laki asal Indonesia
Q580563,penyanyi Indonesia
Q1209725,Dutch footballer (1898-1963)
Q3141350,pemeran perempuan asal Amerika Serikat
Q977126,Dutch general
Q1755541,pemeran perempuan asal Indonesia
Q2179883,Belgian water polo player
Q4695259,penyanyi asal Indonesia
Q1522399,Dutch rower
Q1352122,Dutch footballer (1880-1949)
Q5111696,pemeran perempuan asal Indonesia
Q2784089,Pahlawan Revolusi Kemerdekaan
Q1755191,sastrawan Indonesia
Q520550,Dutch rower (1878-1962)
Q12507726,penyanyi Indonesia
Q14978306,Indonesian badminton player
Q732439,pendiri Gerakan Aceh Merdeka
Q508725,Australian actress
Q400815,Ahmad Suradji
Q1036773,"Banker, General Secretary of FIFA (1877-1951)"
Q2001344,pemeran perempuan asal Indonesia
Q4755130,penulis Indonesia
Q2992817,pahlawan nasional Indonesia
Q4992140,"Jurnalis, editor, dan penulis kontemporer Indonesia"
