Q2367341,Albertus Soegijapranata
Q392335,Nafa Urbach
Q2670449,Taufiq Ismail
Q452839,Wybo Veldman
Q76317,Soedharmono
Q1177170,David Wijnveldt
Q2467467,André Joseph Guillaume Henri Kostermans
Q30945670,Zhong Chenle
Q1953315,Munir Said Thalib
Q5262520,Nike Ardilla
Q818410,Benyamin Sueb
Q580563,Inul Daratista
Q1209725,Richard MacNeill
Q3141350,Jodi Ann Paterson
Q977126,Hein ter Poorten
Q1755541,Suzanna
Q2179883,Herman Meyboom
Q4695259,Ahmad Albar
Q1522399,Walter Thijssen
Q1352122,Miel Mundt
Q5111696,Luna Maya
Q2784089,Pattimura
Q1755191,Sutan Takdir Alisjahbana
Q520550,Henricus Tromp
Q12507726,Raisa Andriana
Q14978306,Jonatan Christie
Q732439,Hasan Muhammad di Tiro
Q508725,Rachel Blakely
Q400815,Dukun AS
Q1036773,Carl Anton Wilhelm Hirschmann
Q2001344,Artika Sari Devi
Q4755130,Andrea Hirata
Q2992817,Ahmad Yani
Q4992140,Rosihan Anwar
Q2509252,Hamengkubuwana II
Q468329,Vita Marissa
Q517317,Rano Karno
Q973183,Rein van Bemmelen
Q1752594,Tommy Sugiarto
Q2746623,Dian Sastrowardoyo
Q707282,Lo Lieh
Q6761642,Maria Ulfah Santoso
Q9015409,Rachel Amanda
Q289858,Soekiman Wirjosandjojo
Q183581,Hassan Wirajuda
Q2978474,Abdoel Halim
Q909047,Dorce Gamalama
Q5431566,Fakih Usman
Q706168,Conrad Helfrich
Q3294779,Hasri Ainun Habibie
Q3353214,Emile Duson
Q85994941,Tiara Andini
Q97307421,Happy Asmara
Q454136,Liesbeth List
Q643644,Johan Fabricius
Q3505523,Budi Sudarsono
Q6641514,Afgansyah Reza
Q11310259,Jan Ruff O'Herne
Q76333,Try Sutrisno
Q639329,Meinoud Rost van Tonningen
Q2204754,Roderick Rijnders
Q11213850,Indriati Iskak
Q4250968,Achmad Soebardjo
Q4699763,Ajip Rosidi
Q459474,Widya Saputra
Q545750,Dries Holten
Q465053,Tri Kusharyanto
Q2669336,Garin Nugroho
Q4695300,Ahmad Dahlan
Q1806448,Antonius Colenbrander
Q28962233,Robertus Rubiyatmoko
Q2826050,Affandi
Q5653028,Happy Salma
Q5629065,Hans Bague Jassin
Q2915833,Untung Suropati
Q7416335,Sandiaga Uno
Q6147504,Titiek Puspa
Q965563,Buchtar Tabuni
Q1942017,Ted Dekker
Q11216625,Ikke Nurjanah
Q1254045,Johan Carp
Q1393182,Ali Sadikin
Q2669297,Burhanuddin Harahap
Q1284250,Eddy du Perron
Q2277434,Soe Hok Gie
Q2307624,Jenne Langhout
Q2573084,Marius Klumperbeek
Q3317190,Chelsea Olivia
Q4259936,Atiqah Hasiholan
Q61997527,Frederika Alexis Cull
Q38693736,Egy Maulana Vikri
Q25470942,Ratu Sikumbang
Q5661029,Didi Kempot
Q19744463,Tulus
Q3738184,Yos Sudarso
Q1850137,René Sparenberg
Q981398,Wahid Hasjim
Q461147,S. Antonius Budi Ariantho
Q4250932,Oerip Soemohardjo
Q5104091,Choirul Huda
Q7585525,Goenawan Mohamad
Q12522317,Tri Rismaharini
Q1925269,Hans Croon
Q2603591,Oemar Said Tjokroaminoto
Q56394496,Nissa Sabyan
Q1398584,Musso
Q12498500,Mieke Wijaya
Q254353,Minarti Timur
Q553892,Lipke Holthuis
Q696748,Wang Gungwu
Q933276,Jack Kolle
Q3181117,Sutomo
Q4695305,Ahmad Dhani
Q29145414,Kevin Lilliana
Q4201122,Hanung Bramantyo
Q706175,Victor Albert Gonsalves
Q3093044,Gerrit Faulhaber
Q4202141,Sam Ratulangi
Q4264456,Evie Tamala
Q12525054,Yayan Ruhian
Q769919,Frans G. Hu Kon
Q4931574,Boaz Solossa
Q2489084,Asrul Sani
Q4264085,Adenan Kapau Gani
Q4201482,Syafruddin Prawiranegara
Q4131734,Ebiet G. Ade
Q525472,Maurice Gatsonides
Q449688,Marinus Anton Donk
Q608792,Hubertus Leteng
Q4754513,Andjar Asmara
Q3656008,Tjoet Nyak Meutia
Q87184,Erika Remberg
Q585982,Bona Septano
Q145877,Imam Bonjol
Q2605059,R. Suprapto
Q5068118,Chaerul Saleh
Q12525366,Yustinus Hardjosusanto
Q576362,Boudewijn de Groot
Q1375653,Shane Gallagher
Q2524065,Anthonie Cornelis Oudemans
Q2746631,Elvy Sukaesih
Q4131627,Irwandi Yusuf
Q15222841,Paskalis Bruno Syukur
Q9331376,Citra Febrianti
Q4673343,Acha Septriasa
Q5111684,Iwan Fals
Q5263767,Nicholas Saputra
Q5568820,Glenn Fredly
Q6308160,Julie Estelle
Q520248,Debby Susanto
Q4199270,Bing Slamet
Q2254732,Cor Braasem
Q1284438,Edhi Handoko
Q1976278,Pakubuwana VI
Q3044724,Suryo Agung Wibowo
Q4383337,Johannes Pujasumarta
Q12506448,Prilly Latuconsina
Q2038341,Simon Santoso
Q3341990,Nini Theilade
Q983494,Kurniawan Dwi Yulianto
Q5830827,Emilia Contessa
Q4251141,Marah Roesli
Q3025589,Dewi Persik
Q281224,Heryanto Arbi
Q56015542,Puti Kaisar Mihara
Q591152,Dulmatin
Q4201183,Soepomo
Q983460,Luluk Hadiyanto
Q12521646,Tirto Adhi Soerjo
Q4200346,Ari Lasso
Q581677,Jacobus Hendricus van Lint
Q1390640,Raffi Ahmad
Q4794037,Melly Goeslaw
Q85989007,Ayu Maulida
Q707205,Ronald Susilo
Q2253449,Ernest Douwes Dekker
Q6862289,Poppy Mercury
Q461579,Madelon Szekely-Lulofs
Q2491603,Oscar van Rappard
Q6543801,Lie Kim Hok
Q2921156,Vic Hayes
Q4349443,Maia Estianty
Q7299896,Rd Ariffien
Q15065475,Evan Dimas Darmono
Q661401,Hamengkubuwana VIII
Q2012278,Hamengkubuwana IV
Q2430565,Hamengkubuwana III
Q2650710,Aloysius Sudarso
Q461435,Denny Kantono
Q4252095,Ayu Ting Ting
Q1616295,Sultan Hasanuddin
Q2642883,Johannes Leimena
Q19922013,Joey Alexander
Q7262516,Putu Wijaya
Q3505511,Elie Aiboy
Q1810756,Max Westerkamp
Q2088806,Bernard Carp
Q429584,Adityawarman
Q17919,Charles Prosper Wolff Schoemaker
Q679059,Law Adam
Q2997852,Muhammad Rachman
Q2096629,Theys Hiyo Eluay
Q2249375,Soetomo
Q539542,Sririta Jensen
Q1442321,Franciscus Kopong Kung
Q1700309,Pius Riana Prapdi
Q2526775,Vincentius Sensi Potokota
Q2944547,Alexander Aan
Q3177695,Tommy Soeharto
Q3847849,Dede Supriatna
Q4973876,Kamidia Radisti
Q12494860,Lilis Suryani
Q11774724,Nana Lee
Q12514086,Shandy Aulia
Q12497727,Medina Warda Aulia
Q18558886,Ruselli Hartawan
Q5447406,Fifi Young
Q20880258,Frans Mohede
Q275463,Sandra Dewi
Q2343180,Frits Ruimschotel
Q1521256,Umar Kayam
Q2603618,Siswondo Parman
Q3107476,Juwono Sudarsono
Q4187311,Emil Salim
Q4263863,Cerdas Barus
Q43131822,Abdul Somad Batubara
Q1179734,Muhammad Balfas
Q1279930,Moreno Soeprapto
Q1392988,Fauzi Bowo
Q2060158,Adriaan Maas
Q2603600,Pierre Tendean
Q3793280,Reza Rahadian
Q3958239,Cut Tari
Q4198154,Indra Lesmana
Q4199003,Sjumandjaja
Q4199390,Tora Sudiro
Q4201152,Nia Dinata
Q11036795,Joko Anwar
Q4251025,Titi DJ
Q4311053,Adia Chan
Q4382677,Maya Soetoro-Ng
Q5025906,Camelia Malik
Q5068119,Chairul Tanjung
Q6187937,Jessy Rompies
Q6372516,Karlina Supelli
Q6509386,Idris Sardi
Q6745424,Maman Abdurrahman Dulur si wahid
Q4201732,Hatta Rajasa
Q7419814,Ryamizard Ryacudu
Q7809983,Titi Kamal
Q9027531,Mansyur S
Q4263166,D. Djajakusuma
Q2627581,Omar Dhani
Q3118591,Siti Fadilah
Q3472874,Widji Thukul
Q3655984,Nyi Ageng Serang
Q4196055,Djoko Santoso
Q7207401,Poerbatjaraka
Q587188,Cakka Nuraga
Q1708087,Joseph Theodorus Suwatan
Q18325159,Pah Wongso
Q11108578,Aminah Cendrakasih
Q2838542,Zubir Said
Q15229725,Kevin Sanjaya Sukamuljo
Q77836,Carl Langbehn
Q49254232,Upiak Isil
Q538910,Ellen Angelina
Q468481,Ali Moertopo
Q12483474,Ganjar Pranowo
Q4115277,Hidayat Nur Wahid
Q17410605,Iriana
Q978833,Hendri Kurniawan Saputra
Q7476096,Habiburrahman El Shirazy
Q1387931,Nurcholish Madjid
Q2091244,Wilopo
Q7844727,Triyaningsih
Q1813144,Ru van der Haar
Q3745,Ahmad Heryawan
Q1061473,Dewi Lestari
Q1133511,Cornelis Christiaan Berg
Q2342229,Halim Perdanakusuma
Q5262470,Ruth Sahanaya
Q500157,Talitha Getty
Q1182143,Dede Oetomo
Q7475943,Laudya Cynthia Bella
Q12498215,Meriam Bellina
Q868611,Praveen Jordan
Q4116080,Ponaryo Astaman
Q578617,Lo La Chapelle
Q17122267,Antonius Subianto Bunjamin
Q19655501,Isyana Sarasvati
Q3440970,Romana Tedjakusuma
Q33160,Sule
Q2249484,Hamengkubuwana VI
Q2581159,Hamengkubuwana V
Q2584101,Hamengkubuwana VII
Q4160009,Adrianus Djajasepoetra
Q1687024,Jenny Dalenoord
Q517755,Philippe Bär
Q3498286,Firman Utina
Q6108912,Rima Melati
Q2370267,Riri Riza
Q12499835,Nafsiah Mboi
Q4189316,Nico Thomas
Q981536,Ida Anak Agung Gde Agung
Q2375169,I Gede Siman Sudartawa
Q745917,Filep Karma
Q1923816,Po Binasuor
Q6875185,Misbach Yusa Biran
Q1441813,Franciscus Xaverius Sudartanta Hadisumarta
Q402998,Leonardus Benyamin Moerdani
Q3572174,Yenny Wahid
Q608600,Susanto Megaranto
Q4273010,Iis Dahlia
Q4200552,Jero Wacik
