item,itemLabel,itemDescription,sitelinks
http://www.wikidata.org/entity/Q1903767,Pakubuwana II,pendiri dan susuhunan pertama Surakarta,7
http://www.wikidata.org/entity/Q2009448,Pakubuwana VIII,Susuhunan dari Surakarta,7
http://www.wikidata.org/entity/Q2439218,Pakubuwana I,Susuhunan dari Mataram,7
http://www.wikidata.org/entity/Q4201845,Samanhudi,Pahlawan Revolusi Kemerdekaan,7
http://www.wikidata.org/entity/Q983462,Muhammad Rizal,badminton player,7
http://www.wikidata.org/entity/Q4673827,Ahmad Jufrianto,pemain sepak bola asal Indonesia,7
http://www.wikidata.org/entity/Q26250635,Dewi Yuliawati,atlet dayung asal Indonesia,7
http://www.wikidata.org/entity/Q463102,Fung Permadi,badminton player,7
http://www.wikidata.org/entity/Q961729,Christian Hadinata,badminton player,7
http://www.wikidata.org/entity/Q28723650,Budi Karya Sumadi,Menteri Perhubungan Republik Indonesia,7
http://www.wikidata.org/entity/Q4261370,Rohana Kudus,pahlawan nasional Indonesia,7
http://www.wikidata.org/entity/Q12521725,Tjahjo Kumolo,mantan Menteri Pendayagunaan Aparatur Negara dan Reformasi Birokrasi,7
http://www.wikidata.org/entity/Q5714052,Hendro Kartiko,Indonesian footballer,7
http://www.wikidata.org/entity/Q5251570,Hanny R. Saputra,film director,7
http://www.wikidata.org/entity/Q4764412,Ani Idrus,jurnalis dan politikus Indonesia,7
http://www.wikidata.org/entity/Q3282061,Djamaludin Malik,"politikus, produser film, pengusaha asal Indonesia",7
http://www.wikidata.org/entity/Q3745171,Wisran Hadi,Penulis,7
http://www.wikidata.org/entity/Q5247076,Patrialis Akbar,politisi Indonesia,7
http://www.wikidata.org/entity/Q2084739,Andik Vermansyah,Indonesian footballer,7
http://www.wikidata.org/entity/Q2295835,Albert Snouck Hurgronje,Dutch football player (1903-1967),7
http://www.wikidata.org/entity/Q16187798,Ki Sarmidi Mangunsarkoro,Pahlawan Revolusi Kemerdekaan,7
http://www.wikidata.org/entity/Q1308026,Rian Sukmawan,badminton player,7
http://www.wikidata.org/entity/Q1510169,Gerard Pieter Adolfs,Dutch East Indies painter and architect,7
http://www.wikidata.org/entity/Q1985368,Daniel Sahuleka,Dutch musician,7
http://www.wikidata.org/entity/Q2421736,Arnoud van der Biesen,sailor,7
http://www.wikidata.org/entity/Q2581141,Agung Laksono,Politisi Indonesia,7
http://www.wikidata.org/entity/Q2692550,Christel Adelaar,Dutch actress and singer (1935-2013),7
http://www.wikidata.org/entity/Q4201155,Tjipto Mangoenkoesoemo,Pahlawan Revolusi Kemerdekaan,7
http://www.wikidata.org/entity/Q4251398,Purnomo Yusgiantoro,Indonesian politician,7
http://www.wikidata.org/entity/Q477824,Amrozi bin Nurhasyim,Teroris Asal Indonesia,7
http://www.wikidata.org/entity/Q12485004,Husein Mutahar,Diplomat dan komposer musik Indonesia,7
http://www.wikidata.org/entity/Q4754301,Andesi Setyo Prabowo,Indonesian footballer,7
http://www.wikidata.org/entity/Q15882855,Thilly Weissenborn,Dutch photographer,7
http://www.wikidata.org/entity/Q49250207,Muladi,"Indonesian academic, judge, and politician",7
http://www.wikidata.org/entity/Q12472161,Anie Carera,pemeran perempuan asal Indonesia,7
http://www.wikidata.org/entity/Q12485440,Hatna Danarda,Indonesian singer,7
http://www.wikidata.org/entity/Q19744918,Via Vallen,penyanyi Indonesia,7
http://www.wikidata.org/entity/Q5518589,Galih Firmansyah,Indonesian footballer,7
http://www.wikidata.org/entity/Q8995080,Mochtar Riady,pengusaha Indonesia,7
http://www.wikidata.org/entity/Q317627,Abdullah Gymnastiar,rohaniwan Indonesia,7
http://www.wikidata.org/entity/Q355045,Iie Sumirat,Indonesian badminton player,7
http://www.wikidata.org/entity/Q398733,Agus R. Sarjono,penuis,7
http://www.wikidata.org/entity/Q532902,Fred Klein,Dutch painter (1898-1990),7
http://www.wikidata.org/entity/Q718094,Aryono Miranat,badminton player,7
http://www.wikidata.org/entity/Q24952574,Henricus Pidyarto Gunawan,Uskup Malang (sejak 2016),7
http://www.wikidata.org/entity/Q129689,Soeroso,Pahlawan Revolusi Kemerdekaan,7
http://www.wikidata.org/entity/Q3243063,Bisma Karisma,pemeran laki-laki asal Indonesia,7
http://www.wikidata.org/entity/Q3569429,Raden Aria Adipati Wiranatakoesoema,politisi Indonesia,7
http://www.wikidata.org/entity/Q17410704,Masud Yunus,Indonesian politician,7
http://www.wikidata.org/entity/Q5562954,Ginandjar Kartasasmita,politisi Indonesia,7
http://www.wikidata.org/entity/Q5928807,Raden Eddy Martadinata,Pahlawan Revolusi Kemerdekaan,7
http://www.wikidata.org/entity/Q6863762,Inka Christie,Penyanyi perempuan asal Indonesia,7
http://www.wikidata.org/entity/Q7108909,Oto Iskandar di Nata,Pahlawan Revolusi Kemerdekaan,7
http://www.wikidata.org/entity/Q7238716,Pratiwi Sudarmono,ilmuwan dan ahli biologi asal Indonesia,7
http://www.wikidata.org/entity/Q7530775,Sisca Jessica,pemeran perempuan asal Indonesia,7
http://www.wikidata.org/entity/Q7812944,Toeti Heraty,"penulis, penyair, guru besar, dan feminis Indonesia",7
http://www.wikidata.org/entity/Q12484261,Glenn Victor Sutanto,Indonesian swimmer,7
http://www.wikidata.org/entity/Q2880471,Maria Dermoût,Dutch-Indian writer (1888-1962),7
http://www.wikidata.org/entity/Q4256072,Aziz Sattar,Malaysian-Indonesian actor (1925-2014),7
http://www.wikidata.org/entity/Q17411464,Satyawati Suleiman,Indonesian historian and archaeologist,7
http://www.wikidata.org/entity/Q336993,Jan Hilgers,Dutch aviator (1886-1945),7
http://www.wikidata.org/entity/Q463390,Njoo Kiem Bie,badminton player (1927-2008),7
http://www.wikidata.org/entity/Q520354,Utami Kinard,pemain bulu tangkis asal Indonesia,7
http://www.wikidata.org/entity/Q3244604,Rafael Landry Tanubrata,pemeran laki-laki asal Indonesia,7
http://www.wikidata.org/entity/Q19354967,Fajar Alfian,Pemain Bulu Tangkis Indonesia,7
http://www.wikidata.org/entity/Q6932756,Muhammad Taufiq,Indonesian footballer,7
http://www.wikidata.org/entity/Q55520012,Christophorus Tri Harsono,uskup Purwokerto,7
http://www.wikidata.org/entity/Q56192251,Defia Rosmaniar,Indonesian female taekwondo practitioner,7
http://www.wikidata.org/entity/Q25463320,Intan Paramaditha,Penulis fiksi dan akademisi feminis asal Indonesia,7
http://www.wikidata.org/entity/Q1988121,Wieteke van Dort,pemeran perempuan asal Indonesia,7
http://www.wikidata.org/entity/Q2056280,Astrid Ellena,Miss Indonesia,7
http://www.wikidata.org/entity/Q2596070,Floris Arntzenius,Pelukis Belanda,7
http://www.wikidata.org/entity/Q2789459,Beatrix de Rijk,"Dutch aviator, first Dutch woman pilot",7
http://www.wikidata.org/entity/Q4200595,Didi Petet,pemeran laki-laki asal Indonesia,7
http://www.wikidata.org/entity/Q7070166,Nurnaningsih,pemeran perempuan asal Indonesia,7
http://www.wikidata.org/entity/Q7443276,Sunan Bonang,penyebar agama Islam di Indonesia,7
http://www.wikidata.org/entity/Q7638798,Sunan Drajat,penyebar agama Islam di Indonesia,7
http://www.wikidata.org/entity/Q12485373,Hary Tanoesoedibjo,pebisnis dan politikus Indonesia,7
http://www.wikidata.org/entity/Q7478518,Vania Larissa,pemenang Miss Indonesia 2013.,7
http://www.wikidata.org/entity/Q1172746,Datus Hilarion Lega,,7
http://www.wikidata.org/entity/Q4252072,Amirmachmud,Politisi Indonesia,7
http://www.wikidata.org/entity/Q13462182,Ade Yusuf,Indonesian badminton player,7
http://www.wikidata.org/entity/Q347239,K.P.H. Notoprojo,Indonesian musician,7
http://www.wikidata.org/entity/Q519498,Finarsih,pemain bulu tangkis asal Indonesia,7
http://www.wikidata.org/entity/Q2591497,Paku Alam IX,Adipati dari Pakualaman,7
http://www.wikidata.org/entity/Q4213590,Irwan Prayitno,Gubernur Sumatra Barat,7
http://www.wikidata.org/entity/Q5991107,Ifa Isfansyah,sutradara dan produser film asal Indonesia,7
http://www.wikidata.org/entity/Q7281390,Radius Prawiro,Indonesian politician (1928-2005),7
http://www.wikidata.org/entity/Q25460365,Siti Noordjannah Djohantini,Indonesian Islamic scholar,7
http://www.wikidata.org/entity/Q538958,Anggia Shitta Awanda,pemain bulu tangkis asal Indonesia,7
http://www.wikidata.org/entity/Q14917442,Rizky Pellu,Indonesian footballer,7
http://www.wikidata.org/entity/Q827150,Berry Anggriawan,Indonesian badminton player,7
http://www.wikidata.org/entity/Q12515630,Sjarifuddin Baharsjah,tokoh pertanian dan akademikus Indonesia,7
http://www.wikidata.org/entity/Q1207254,Deyana Lomban,pemain bulu tangkis asal Indonesia,7
http://www.wikidata.org/entity/Q5239332,John Lie,pahlawan nasional Indonesia,7
http://www.wikidata.org/entity/Q12682432,Alexander Andries Maramis,Pahlawan Revolusi Kemerdekaan,7
http://www.wikidata.org/entity/Q95698344,Marie Thomas,dokter perempuan pertama Indonesia,7
http://www.wikidata.org/entity/Q2151902,Rie Cramer,Dutch writer and illustrator of children's literature,7
http://www.wikidata.org/entity/Q12486225,Ibu Sud,Ibu Soed adalah pencipta lagu anak anak,7
http://www.wikidata.org/entity/Q5445518,Ferry Rotinsulu,Indonesian footballer,7
http://www.wikidata.org/entity/Q66705695,Witan Sulaeman,pemain sepak bola Indonesia,7
http://www.wikidata.org/entity/Q544665,Lili Tampi,pemain bulu tangkis asal Indonesia,7
http://www.wikidata.org/entity/Q4694586,Agum Gumelar,Indonesian politician,7
http://www.wikidata.org/entity/Q12508419,Remy Sylado,pemeran laki-laki asal Indonesia,7
http://www.wikidata.org/entity/Q775069,Syech Yusuf Tajul Khalwati,Pahlawan Revolusi Kemerdekaan,7
http://www.wikidata.org/entity/Q19752310,Nurdin Abdullah,Indonesian politician and academician,7
http://www.wikidata.org/entity/Q1055859,Rocky Putiray,Indonesian footballer,7
http://www.wikidata.org/entity/Q5978386,I Made Wirawan,footballer,7
http://www.wikidata.org/entity/Q12495539,Lukas Enembe,Politikus Indonesia,7
http://www.wikidata.org/entity/Q2257907,Nicolaas Jouwe,politisi Indonesia,7
http://www.wikidata.org/entity/Q4116093,Erol FX Iba,Indonesian footballer,7
http://www.wikidata.org/entity/Q12471431,Aldi Taher,penyanyi dan pemeran laki-laki asal Indonesia,7
http://www.wikidata.org/entity/Q1135689,Patty Brard,Dutch singer,7
http://www.wikidata.org/entity/Q4216351,Azyumardi Azra,Indonesian historian,7
http://www.wikidata.org/entity/Q112332,Sariamin Ismail,novelis perempuan pertama Indonesia,7
http://www.wikidata.org/entity/Q2698848,Jim Janssen van Raaij,Dutch lawyer and politician,7
http://www.wikidata.org/entity/Q6892071,Mohammad Husni Thamrin,pahlawan nasional Indonesia,7
http://www.wikidata.org/entity/Q3126352,Hambali,"teroris Indonesia, mantan pemimpin organisasi Jemaah Islamiyah",7
http://www.wikidata.org/entity/Q742192,Dé Kessler,Dutch footballer (1891-1943),7
http://www.wikidata.org/entity/Q3234938,Mulan Jameela,penyanyi Indonesia,7
http://www.wikidata.org/entity/Q15054308,Fitriani,pemain bulu tangkis asal Indonesia,7
http://www.wikidata.org/entity/Q2092123,Harmoko,Politisi Indonesia,7
http://www.wikidata.org/entity/Q17129925,Miyu Kubota,Japanese seiyū,7
http://www.wikidata.org/entity/Q669258,Mangkunegara I,pendiri Mangkunagaran dan pahlawan nasional Indonesia,7
http://www.wikidata.org/entity/Q12508441,Rendra Karno,pemeran laki-laki asal Indonesia,7
http://www.wikidata.org/entity/Q4198008,Sekarmadji Maridjan Kartosoewirjo,tokoh Islamis Indonesia,7
http://www.wikidata.org/entity/Q12487456,Jatidjan,,7
http://www.wikidata.org/entity/Q12517001,Sukarjo Wiryopranoto,Pahlawan Revolusi Kemerdekaan,7
http://www.wikidata.org/entity/Q12688360,Jakob Oetama,"Pemimpin Umum Harian ""KOMPAS"" sejak 1980",7
http://www.wikidata.org/entity/Q25457407,Anis Hidayah,migrant worker activist,7
http://www.wikidata.org/entity/Q111603459,Laksmi De-Neefe Suardana,model dan pemenang kontes kecantikan Puteri Indonesia 2022,7
http://www.wikidata.org/entity/Q5252601,Shahar Ginanjar,Indonesian footballer,7
http://www.wikidata.org/entity/Q4201251,Sunan Kalijaga,penyebar agama Islam di Indonesia,7
http://www.wikidata.org/entity/Q4202242,Basuki Rahmat,Pahlawan Revolusi Kemerdekaan,7
http://www.wikidata.org/entity/Q7645143,Suprijadi,pahlawan nasional Indonesia,7
http://www.wikidata.org/entity/Q13541933,Andi Sultan Daeng Radja,Pahlawan Revolusi Kemerdekaan,7
http://www.wikidata.org/entity/Q31037476,Adrianus Sunarko,Uskup Pangkal Pinang,7
http://www.wikidata.org/entity/Q1610279,Herman Joseph Sahadat Pandoyoputro,Indonesian catholic priest and priest,7
http://www.wikidata.org/entity/Q25469512,Kuryana Azis,politikus Indonesia,7
http://www.wikidata.org/entity/Q2282288,Anak Agung Pandji Tisna,Indonesian writer,7
http://www.wikidata.org/entity/Q1165997,Darius Nggawa,Indonesian Roman Catholic bishop,6
http://www.wikidata.org/entity/Q1371496,Eti Tantra,pemain bulu tangkis,6
http://www.wikidata.org/entity/Q1411044,Ruud Kleinpaste,New Zealand naturalist (born 1952),6
http://www.wikidata.org/entity/Q3064397,Mohammad Fadlin,Indonesian male sprinter,6
http://www.wikidata.org/entity/Q7366064,Ronny Wabia,Pemain sepak bola asal Indonesia,6
http://www.wikidata.org/entity/Q7531876,Tutut Soeharto,pebisnis dan politikus Indonesia,6
http://www.wikidata.org/entity/Q12485889,Hotman Paris Hutapea,pengacara Indonesia,6
http://www.wikidata.org/entity/Q16153290,Baekuni,Indonesian serial killer,6
http://www.wikidata.org/entity/Q16233852,Teddy Heri Setiawan,pemain sepak bola dari Indonesia,6
http://www.wikidata.org/entity/Q16187417,Kevin Julio,pemeran laki-laki asal Indonesia,6
http://www.wikidata.org/entity/Q11213484,Muhammad Rizieq Shihab,Ulama Indonesia,6
http://www.wikidata.org/entity/Q11979222,Jefri Al Buchori,"pendakwah, penyanyi, dan pemeran laki-laki asal Indonesia",6
http://www.wikidata.org/entity/Q12062269,Nabilah Ratna Ayu Azalia,penyanyi dan pemeran perempuan asal Indonesia,6
http://www.wikidata.org/entity/Q30069593,Muhammad Rafli,association football player,6
http://www.wikidata.org/entity/Q51404081,Ade Resky Dwicahyo,Azerbaijani badminton player,6
http://www.wikidata.org/entity/Q12507668,Raditya Dika,"penulis, aktor, dan sutradara asal Indonesia",6
http://www.wikidata.org/entity/Q12507779,Raline Shah,Pemeran perempuan asal Indonesia,6
http://www.wikidata.org/entity/Q12512164,Sarah Azhari,pemeran perempuan asal Indonesia,6
http://www.wikidata.org/entity/Q12512273,Sarwendah Tan,penyanyi asal Indonesia,6
http://www.wikidata.org/entity/Q12499071,Mouly Surya,Indonesian filmmaker,6
http://www.wikidata.org/entity/Q12499874,Nagita Slavina,pemeran perempuan asal Indonesia,6
http://www.wikidata.org/entity/Q12515951,Soraya Abdullah,pemeran perempuan asal Indonesia,6
http://www.wikidata.org/entity/Q12517042,Sukmawati Soekarnoputri,politisi Indonesia,6
http://www.wikidata.org/entity/Q12521589,Tio Pakusadewo,pemeran laki-laki asal Indonesia,6
http://www.wikidata.org/entity/Q12523203,Umay Shahab,pemeran laki-laki asal Indonesia,6
http://www.wikidata.org/entity/Q12480859,Dani Anwar,politikus,6
http://www.wikidata.org/entity/Q17411533,Aliando Syarief,pemeran laki-laki asal Indonesia,6
http://www.wikidata.org/entity/Q17411623,Christy Saura Noela Unu,pemeran dan penyanyi asal Indonesia,6
http://www.wikidata.org/entity/Q12483185,Gabriela Margareth Warouw,penyanyi Indonesia,6
http://www.wikidata.org/entity/Q12698770,Naysila Mirdad,pemeran perempuan asal Indonesia,6
http://www.wikidata.org/entity/Q13097657,Tamara Geraldine,Indonesian presenter and author,6
http://www.wikidata.org/entity/Q14917288,Alex Abbad,pemeran laki-laki asal Indonesia,6
http://www.wikidata.org/entity/Q15628805,Olivia Tjandramulia,Australian tennis player,6
http://www.wikidata.org/entity/Q15647508,Adi Pratama,badminton player,6
http://www.wikidata.org/entity/Q19723719,Naura Ayu,penyanyi dan pemeran perempuan asal Indonesia,6
http://www.wikidata.org/entity/Q16176223,Ernest Prakasa,pemeran laki-laki asal Indonesia,6
http://www.wikidata.org/entity/Q8049092,Yap Thiam Hien,Pengacara dan pembela hak asasi manusia Indonesia,6
http://www.wikidata.org/entity/Q8064854,Zaini Abdullah,gubernur Aceh,6
http://www.wikidata.org/entity/Q12509237,S. Poniman (aktor),pemeran laki-laki asal Indonesia,6
http://www.wikidata.org/entity/Q18421486,Zulfiandi,Indonesian association football player,6
http://www.wikidata.org/entity/Q99514,Peter Kuiper,German actor (1929-2007),6
http://www.wikidata.org/entity/Q12485049,Hadidjah,pemeran perempuan asal Indonesia,6
http://www.wikidata.org/entity/Q12509231,Ryana Dea,pemeran perempuan asal Indonesia,6
http://www.wikidata.org/entity/Q886398,Dirk Albert Hooijer,Dutch paleontologist,6
http://www.wikidata.org/entity/Q978221,Nguyen Thuy Lam,Miss Universe Vietnam 2008,6
http://www.wikidata.org/entity/Q4200761,Ayu Azhari,pemeran perempuan asal Indonesia,6
http://www.wikidata.org/entity/Q520229,Imelda Wiguna,pemain bulu tangkis Indonesia,6
http://www.wikidata.org/entity/Q3546409,Danarto,Indonesian writer,6
http://www.wikidata.org/entity/Q4200190,Ahmadun Yosi Herfanda,Jurnalis dan Penyair asal Indonesia,6
http://www.wikidata.org/entity/Q4695291,Ahmad Bustomi,footballer,6
http://www.wikidata.org/entity/Q5395350,Eros Djarot,politisi Indonesia,6
http://www.wikidata.org/entity/Q321632,Anton Heyboer,Dutch painter and printmaker (1924-2005),6
http://www.wikidata.org/entity/Q29054512,Bunga Jelitha Ibrani,"aktris, model dan pemenang kontes kecantikan Puteri Indonesia 2017",6
http://www.wikidata.org/entity/Q520179,Fransisca Ratnasari,pemain bulu tangkis asal Indonesia,6
http://www.wikidata.org/entity/Q841149,Doni Tata Pradita,pembalap motor indonesia,6
http://www.wikidata.org/entity/Q2266005,Paku Alam VII,Adipati dari Pakualaman,6
http://www.wikidata.org/entity/Q9019254,Roy Suryo,politisi Indonesia,6
http://www.wikidata.org/entity/Q4116083,Mahyadi Panggabean,Indonesian footballer,6
http://www.wikidata.org/entity/Q4261409,Darmin Nasution,Indonesian businessman and economist,6
http://www.wikidata.org/entity/Q140573,Zahir Ali,Indonesian racing driver,6
http://www.wikidata.org/entity/Q463340,Lius Pongoh,Indonesian badminton player,6
http://www.wikidata.org/entity/Q485788,Ananda Sukarlan,Indonesian musician,6
http://www.wikidata.org/entity/Q501635,Andrei Adistia,badminton player,6
http://www.wikidata.org/entity/Q520043,Della Destiara Haris,pemain bulu tangkis asal Indonesia,6
http://www.wikidata.org/entity/Q528932,Angga Pratama,badminton player,6
http://www.wikidata.org/entity/Q931989,Yoji Akao,Planning specialist,6
http://www.wikidata.org/entity/Q1064489,Charles Gairdner,British Army general (1898-1983),6
http://www.wikidata.org/entity/Q1408151,Ferry Sonneville,badminton player (1931-2003),6
http://www.wikidata.org/entity/Q1568093,Hafiz Faisal,badminton player,6
http://www.wikidata.org/entity/Q1692054,Johan Munters,Swedish ski jumper,6
http://www.wikidata.org/entity/Q2079131,Henri MacLaine Pont,Dutch architect and archaeologist active in Indonesia (1884 -1971),6
http://www.wikidata.org/entity/Q2803377,Helga Ruebsamen,Dutch writer,6
http://www.wikidata.org/entity/Q3958180,Cut Memey,pemeran perempuan asal Indonesia,6
http://www.wikidata.org/entity/Q4080312,Krisna Bayu,Indonesian Olympic judoka,6
http://www.wikidata.org/entity/Q4188820,Baim Wong,pemeran laki-laki asal Indonesia,6
http://www.wikidata.org/entity/Q4189608,Adinia Wirasti,pemeran perempuan asal Indonesia,6
http://www.wikidata.org/entity/Q4200152,Ririn Dwi Ariyanti,pemeran perempuan asal Indonesia,6
http://www.wikidata.org/entity/Q4200501,Daniel Mananta,pemeran laki-laki asal Indonesia,6
http://www.wikidata.org/entity/Q7332240,Ricky Yacob,Pemain sepak bola indonesia,6
http://www.wikidata.org/entity/Q12485534,Helvy Tiana Rosa,Sastrawan dan akademikus Indonesia,6
http://www.wikidata.org/entity/Q13519518,Gordon Tobing,Indonesian singer,6
http://www.wikidata.org/entity/Q56256482,Emilia Nova,Indonesian athletics competitor,6
http://www.wikidata.org/entity/Q15498474,Syahrizal Syahbuddin,Indonesian footballer,6
http://www.wikidata.org/entity/Q4261058,Zivanna Letisha Siregar,model dan pemenang kontes kecantikan Puteri Indonesia 2008,6
http://www.wikidata.org/entity/Q4262957,Fariz Rustam Munaf,penyanyi dan pemusik Indonesia,6
http://www.wikidata.org/entity/Q4263304,Bondan Prakoso,Indonesian musician,6
http://www.wikidata.org/entity/Q4264069,Guruh Soekarnoputra,pemeran laki-laki asal Indonesia,6
http://www.wikidata.org/entity/Q4272691,Dicky Zulkarnaen,pemeran laki-laki asal Indonesia,6
http://www.wikidata.org/entity/Q4273124,Andi Soraya,pemeran perempuan asal Indonesia,6
http://www.wikidata.org/entity/Q4681152,Addie MS,Konduktor,6
http://www.wikidata.org/entity/Q4683174,Adjie Massaid,pemeran laki-laki asal Indonesia,6
http://www.wikidata.org/entity/Q4790355,Arief Budiman,Indonesian activist,6
http://www.wikidata.org/entity/Q5239220,Nia Ramadhani,pemeran perempuan asal Indonesia,6
http://www.wikidata.org/entity/Q5243281,Manohara Odelia Pinot,pemeran perempuan asal Indonesia,6
http://www.wikidata.org/entity/Q5246990,Nikita Willy,pemeran perempuan asal Indonesia,6
http://www.wikidata.org/entity/Q5247059,Krishna Balagita,Indonesian musician,6
http://www.wikidata.org/entity/Q13097278,Sudi Silalahi,politisi Indonesia,6
http://www.wikidata.org/entity/Q5564287,Giring Ganesha,"penyanyi, politikus dan pemeran laki-laki asal Indonesia",6
http://www.wikidata.org/entity/Q6231515,John Ekels,sailor,6
http://www.wikidata.org/entity/Q6297090,Joy Tobing,Indonesian singer,6
http://www.wikidata.org/entity/Q6479974,Laksmi Pamuntjak,"Novelis, penyair, esais, jurnalis, penulis kuliner asal Indonesia",6
http://www.wikidata.org/entity/Q4791212,Arizal,sutradara asal Indonesia,6
http://www.wikidata.org/entity/Q185513,Fran Kurniawan,badminton player,6
http://www.wikidata.org/entity/Q4648436,Abdullah Totong Mahmud,penulis lagu,6
http://www.wikidata.org/entity/Q7384733,Marzuki Alie,Politisi Indonesia,6
http://www.wikidata.org/entity/Q10513935,Ilham Jaya Kesuma,Indonesian footballer,6
http://www.wikidata.org/entity/Q85994959,Tiza Mafira,Indonesian environmental lawyer,6
http://www.wikidata.org/entity/Q16179971,Hari Habrian,Indonesian association football player,6
http://www.wikidata.org/entity/Q7336505,Gading Marten,pemeran laki-laki asal Indonesia,6
http://www.wikidata.org/entity/Q7372538,Roy B.B. Janis,Indonesian politician,6
http://www.wikidata.org/entity/Q7707055,Teuku Wisnu,pemeran laki-laki asal Indonesia,6
http://www.wikidata.org/entity/Q9010798,Januarisman,Indonesian singer,6
http://www.wikidata.org/entity/Q10747228,Roger Danuarta,pemeran laki-laki asal Indonesia,6
http://www.wikidata.org/entity/Q11100657,Budi Anduk,pemeran laki-laki asal Indonesia,6
http://www.wikidata.org/entity/Q11108122,Bucek Depp,pemeran laki-laki asal Indonesia,6
http://www.wikidata.org/entity/Q4902218,Widodo A. S.,Indonesian admiral,6
http://www.wikidata.org/entity/Q5251562,Joko Sasongko,Indonesian footballer,6
http://www.wikidata.org/entity/Q19742607,Sutopo Purwo Nugroho,pejabat Indonesia,6
http://www.wikidata.org/entity/Q1061526,Iwan Simatupang,Indonesian writer,6
http://www.wikidata.org/entity/Q2323294,Augusta de Wit,Dutch writer (1864-1939),6
http://www.wikidata.org/entity/Q2520719,Corry Tendeloo,"Dutch lawyer, feminist, and politician (1897–1956)",6
http://www.wikidata.org/entity/Q2581168,Akbar Tanjung,Politisi Indonesia,6
http://www.wikidata.org/entity/Q20447632,Abdul Rahman Muazzam Syah dari Lingga,16th Sultan of Johor,6
http://www.wikidata.org/entity/Q24205797,Mahmud Syah III dari Johor,Pahlawan Revolusi Kemerdekaan,6
http://www.wikidata.org/entity/Q520056,Rizki Amelia Pradipta,pemain bulu tangkis Indonesia,6
http://www.wikidata.org/entity/Q954217,R. Soeprapto,Mantan Gubernur DKI Jakarta,6
http://www.wikidata.org/entity/Q1556611,Icuk Sugiarto,Indonesian badminton player,6
http://www.wikidata.org/entity/Q1820550,Pakubuwana XI,Susuhunan of Surakarta (1886-1945),6
http://www.wikidata.org/entity/Q1959996,Jan Buijs,Dutch architect,6
http://www.wikidata.org/entity/Q2093810,Mangkunegara II,Adipati dari Mangkunagaran,6
http://www.wikidata.org/entity/Q2099707,Pakubuwana III,Susuhunan dari Surakarta,6
http://www.wikidata.org/entity/Q2149375,Pakubuwana IV,Susuhunan dari Surakarta,6
http://www.wikidata.org/entity/Q2196457,Mangkunegara IV,Adipati dari Mangkunagaran,6
http://www.wikidata.org/entity/Q2273534,Waldjinah,penyanyi keroncong,6
http://www.wikidata.org/entity/Q2633993,Mangkunegara VII,Adipati dari Mangkunagaran,6
http://www.wikidata.org/entity/Q2715943,Mangkunegara VI,Adipati dari Mangkunagaran,6
http://www.wikidata.org/entity/Q4188833,Slamet Rijadi,Pahlawan Revolusi Kemerdekaan,6
http://www.wikidata.org/entity/Q4201116,Basuki Abdullah,painter (1915-1993),6
http://www.wikidata.org/entity/Q4261333,Agung Setyabudi,Indonesian footballer,6
http://www.wikidata.org/entity/Q4273436,Pakubuwana V,Susuhunan dari Surakarta,6
http://www.wikidata.org/entity/Q5274731,Japto Soerjosoemarno,Ketua pemuda Pancasila,6
http://www.wikidata.org/entity/Q7126089,Pakubuwana XII,Susuhunan of Surakarta,6
http://www.wikidata.org/entity/Q520003,Gebby Ristiyani Imawan,badminton player,6
http://www.wikidata.org/entity/Q47748,Mayangsari,penyanyi Indonesia,6
http://www.wikidata.org/entity/Q463377,Hariamanto Kartono,badminton player,6
http://www.wikidata.org/entity/Q127272,Andre Kurniawan Tedjono,Indonesian badminton player,6
http://www.wikidata.org/entity/Q2536182,Willem Johannes Leyds,Dutch lawyer and statesman (1859–1940),6
http://www.wikidata.org/entity/Q4250974,Tifatul Sembiring,politikus Indonesia,6
http://www.wikidata.org/entity/Q11168814,Hazairin,Pahlawan Revolusi Kemerdekaan,6
http://www.wikidata.org/entity/Q12780041,Syamsir Alam,Rasim herdiana,6
http://www.wikidata.org/entity/Q104615505,Muhammad Arif,Indonesian politician,6
http://www.wikidata.org/entity/Q12472217,Annie Landouw,pemeran perempuan asal Indonesia,6
http://www.wikidata.org/entity/Q12485551,Hendro Subroto,Indonesian journalist (1938-2010),6
http://www.wikidata.org/entity/Q13091528,Ali Wardhana,politisi Indonesia,6
http://www.wikidata.org/entity/Q486470,Anas Urbaningrum,politisi Indonesia,6
http://www.wikidata.org/entity/Q21808666,Purnomo Muhammad Yudhi,Indonesian sprinter,6
http://www.wikidata.org/entity/Q483072,Ana Rovita,pemain bulu tangkis asal Indonesia,6
http://www.wikidata.org/entity/Q4695313,Ahmad Fuadi,Indonesian writer,6
http://www.wikidata.org/entity/Q961741,Mas Selamat bin Kastari,Singaporean Islamist,6
http://www.wikidata.org/entity/Q2070104,Gerardus Johannes Berenschot,Dutch general,6
http://www.wikidata.org/entity/Q2550116,Soedjatmoko,Indonesian politician,6
http://www.wikidata.org/entity/Q5519592,Gamawan Fauzi,politikus Indonesia,6
http://www.wikidata.org/entity/Q13091442,A. Damhoeri,penulis dan penyair Indonesia,6
http://www.wikidata.org/entity/Q5428537,Fachrudin Aryanto,Pemain sepak bola asal Indonesia,6
http://www.wikidata.org/entity/Q16193388,Suharno,Indonesian association football player (1959-2015),6
