item,itemLabel,itemDescription,sitelinks
http://www.wikidata.org/entity/Q2470857,Sutan Syahrir,pahlawan nasional Indonesia,20
http://www.wikidata.org/entity/Q3459336,Joe Taslim,"aktor, model dan penyanyi Indonesia",20
http://www.wikidata.org/entity/Q118629,Agus Salim,pahlawan nasional Indonesia,20
http://www.wikidata.org/entity/Q76362,Boediono,Wakil Presiden Indonesia ke-11,20
http://www.wikidata.org/entity/Q584761,Angelique Widjaja,petenis profesional asal Indonesia.,20
http://www.wikidata.org/entity/Q22958340,Sri Wahyuni Agustiani,Atlet Angkat Besi,20
http://www.wikidata.org/entity/Q27267034,Rich Brian,Rapper Indonesia,19
http://www.wikidata.org/entity/Q658330,Arie de Jong,volapükist from the Netherlands (1865-1957),19
http://www.wikidata.org/entity/Q732135,Chrisye,penyanyi dan penulis lagu Indonesia,19
http://www.wikidata.org/entity/Q104560457,Defri Juliant,penyanyi Indonesia,19
http://www.wikidata.org/entity/Q3363540,Parameswara,Sumatran man who built the Malacca Sultanate,19
http://www.wikidata.org/entity/Q506333,Tontowi Ahmad,pemain bulu tangkis Indonesia,19
http://www.wikidata.org/entity/Q712489,Henk Badings,Dutch composer born in Java,19
http://www.wikidata.org/entity/Q1318953,Ayu Utami,"aktivis jurnalis, sastrawan, dan penulis berkebangsaan Indonesia.",19
http://www.wikidata.org/entity/Q16724324,Anthony Sinisuka Ginting,pemain bulu tangkis Indonesia,19
http://www.wikidata.org/entity/Q76227,Hamengkubuwana IX,pahlawan nasional Indonesia,19
http://www.wikidata.org/entity/Q2183970,Cut Nyak Dhien,pahlawan nasional Indonesia,18
http://www.wikidata.org/entity/Q468519,Fatmawati,pahlawan nasional Indonesia,18
http://www.wikidata.org/entity/Q571426,Johan Hendrik Caspar Kern,Dutch linguist and orientalist,18
http://www.wikidata.org/entity/Q2669342,Hamengkubuwana X,sultan ke-10 Yogyakarta dan Gubernur Daerah Istimewa Yogyakarta ke-3,18
http://www.wikidata.org/entity/Q97193011,Windy Cantika Aisah,atlet angkat besi asal Indonesia,18
http://www.wikidata.org/entity/Q2321261,Eka Kurniawan,Penulis Indonesia,18
http://www.wikidata.org/entity/Q2735641,Rhoma Irama,musisi dan pemeran laki-laki asal Indonesia,18
http://www.wikidata.org/entity/Q23723804,Apriyani Rahayu,pemain bulu tangkis asal Indonesia,18
http://www.wikidata.org/entity/Q12856730,Jung Joon-young,South Korean singer-songwriter,17
http://www.wikidata.org/entity/Q364683,Adolph van der Voort van Zijp,Dutch equestrian (1892-1978),17
http://www.wikidata.org/entity/Q2669326,Ali Sastroamidjojo,Pahlawan Revolusi Kemerdekaan,17
http://www.wikidata.org/entity/Q17411488,Susi Pudjiastuti,Mantan Menteri Kelautan dan Perikanan RI,17
http://www.wikidata.org/entity/Q640195,Ardy Wiranata,Pebulu tangkis Indonesia,17
http://www.wikidata.org/entity/Q1144049,Wage Rudolf Soepratman,violinis dan komponis Indonesia,17
http://www.wikidata.org/entity/Q185282,Muhammad Ahsan,pemain bulu tangkis asal Indonesia,17
http://www.wikidata.org/entity/Q454488,Lien Gisolf,Dutch athlete,17
http://www.wikidata.org/entity/Q2570788,Mochtar Lubis,pengarang Indonesia,17
http://www.wikidata.org/entity/Q731979,Nova Widianto,badminton player,17
http://www.wikidata.org/entity/Q58290,Marty Natalegawa,Menteri Luar Negeri Indonesia ke-17,17
http://www.wikidata.org/entity/Q4131328,Rossa,penyanyi Indonesia,17
http://www.wikidata.org/entity/Q290581,Xaviera Hollander,Dutch prostitute,17
http://www.wikidata.org/entity/Q731914,Sony Dwi Kuncoro,Indonesian badminton player,17
http://www.wikidata.org/entity/Q1392969,I Gusti Ngurah Rai,pahlawan nasional Indonesia,17
http://www.wikidata.org/entity/Q4263230,Anies Baswedan,Gubernur Daerah Khusus Ibukota Jakarta dari 2017 sampai sekarang,17
http://www.wikidata.org/entity/Q2327343,Mohammad Natsir,pahlawan nasional Indonesia,17
http://www.wikidata.org/entity/Q1810083,Amir Sjarifoeddin,pahlawan nasional Indonesia,16
http://www.wikidata.org/entity/Q68582,Ilse Werner,German actress (1921-2005),16
http://www.wikidata.org/entity/Q738677,Chris John,Petinju asal Indonesia,16
http://www.wikidata.org/entity/Q3089681,Usmar Ismail,pahlawan nasional Indonesia,16
http://www.wikidata.org/entity/Q1051041,Nh. Dini,"sastrawan, novelis, dan feminis asal Indonesia",16
http://www.wikidata.org/entity/Q334810,Abu Bakar Ba'asyir,Tokoh Islam di Indonesia,16
http://www.wikidata.org/entity/Q2367329,Jenderal Soedirman,pahlawan nasional Indonesia,16
http://www.wikidata.org/entity/Q1393679,Hendrawan,Indonesian badminton player and coach,16
http://www.wikidata.org/entity/Q4263053,Yuki Kato,pemeran perempuan asal Indonesia,16
http://www.wikidata.org/entity/Q441699,Tania Gunadi,pemeran perempuan asal Amerika Serikat,16
http://www.wikidata.org/entity/Q719320,Tony Gunawan,badminton player,16
http://www.wikidata.org/entity/Q2007313,Jan Just Bos,"Dutch rower, botanist and TV presenter (1939-2003)",16
http://www.wikidata.org/entity/Q2145886,Rudy Hartono,Indonesian badminton player,16
http://www.wikidata.org/entity/Q732000,Candra Wijaya,badminton player,16
http://www.wikidata.org/entity/Q7475947,Syahrini,Penyanyi wanita Indonesia,16
http://www.wikidata.org/entity/Q97192066,Rahmat Erwin Abdullah,Indonesian weightlifter (born 2000),16
http://www.wikidata.org/entity/Q920361,Dik Esser,field hockey player (1918-1979),16
http://www.wikidata.org/entity/Q1229813,Rexy Mainaky,badminton player,16
http://www.wikidata.org/entity/Q1771129,Sultan Agung dari Mataram,Sultan dari Mataram dan pahlawan nasional Indonesia,16
http://www.wikidata.org/entity/Q2605467,Adrianus de Jong,Dutch fencer,16
http://www.wikidata.org/entity/Q1334387,Vasily Pavlovich Rochev,cross-country skier,16
http://www.wikidata.org/entity/Q375774,Iskandar Muda dari Aceh,Pahlawan Revolusi Kemerdekaan,15
http://www.wikidata.org/entity/Q431353,Triyatno,atlet angkat besi Indonesia,15
http://www.wikidata.org/entity/Q591530,Musdah Mulia,"aktivis perempuan, peneliti, konselor, dan penulis di bidang keagamaan (Islam) di Indonesia",15
http://www.wikidata.org/entity/Q680490,Ruurd Leegstra,Dutch rower (1877-1933),15
http://www.wikidata.org/entity/Q936816,Gita Gutawa,pemeran perempuan asal Indonesia,15
http://www.wikidata.org/entity/Q957483,Ali Alatas,diplomat Indonesia,15
http://www.wikidata.org/entity/Q1350057,Utut Adianto,Indonesian chess grandmaster and politician,15
http://www.wikidata.org/entity/Q1413862,Corrie Laddé,Dutch swimmer,15
http://www.wikidata.org/entity/Q3040291,Nurfitriyana Saiman,pemanah perempuan asal Indonesia,15
http://www.wikidata.org/entity/Q3237077,Bunga Citra Lestari,penyanyi dan pemeran perempuan asal Indonesia,15
http://www.wikidata.org/entity/Q3502322,Mari Elka Pangestu,"Menteri Pariwisata dan Ekonomi Kreatif Indonesia ke-10, Menteri Perdagangan Indonesia ke-26",15
http://www.wikidata.org/entity/Q2058688,Frans Alfred Meeng,pemain sepak bola Hindia Belanda,15
http://www.wikidata.org/entity/Q7441028,Sean Gelael,Pembalap Mobil,15
http://www.wikidata.org/entity/Q1341683,Eng Hian,Indonesian badminton player,15
http://www.wikidata.org/entity/Q2046283,Sapardi Djoko Damono,penyair Indonesia,15
http://www.wikidata.org/entity/Q4917827,Krisdayanti,penyanyi dan pemeran perempuan asal Indonesia,15
http://www.wikidata.org/entity/Q3940192,Rohit Chand,Pesepakbola Nepal,15
http://www.wikidata.org/entity/Q2670453,Djoeanda Kartawidjaja,pahlawan nasional Indonesia,15
http://www.wikidata.org/entity/Q489213,Edu Snethlage,Dutch footballer (1886-1941),15
http://www.wikidata.org/entity/Q1335187,Justinus Darmojuwono,Kardinal Katolik Roma,14
http://www.wikidata.org/entity/Q19974584,Lukman Niode,perenang Indonesia,14
http://www.wikidata.org/entity/Q1347236,Jan Gualtherus van Breda Kolff,Dutch footballer (1894-1976),14
http://www.wikidata.org/entity/Q77996,Friedrich Carl Andreas,German orientalist and linguist,14
http://www.wikidata.org/entity/Q457756,Raema Lisa Rumbewas,atlet angkat besi asal Indonesia,14
http://www.wikidata.org/entity/Q1049695,Tia Tanaka,American pornographic actress,14
http://www.wikidata.org/entity/Q2128765,Ismail Marzuki,komponis dan penulis lagu Indonesia,14
http://www.wikidata.org/entity/Q15990566,Aleta Baun,Aktivis Llingkungan,14
http://www.wikidata.org/entity/Q81199676,Reynhard Sinaga,pelaku kriminal Indonesia,14
