item,itemLabel
http://www.wikidata.org/entity/Q72488,San Chay people
http://www.wikidata.org/entity/Q72805,Muong people
http://www.wikidata.org/entity/Q72810,Nùng people
http://www.wikidata.org/entity/Q73629,Bakossi people
http://www.wikidata.org/entity/Q74333,Ejagham people
http://www.wikidata.org/entity/Q74591,Zappo Zap
http://www.wikidata.org/entity/Q79797,Bangsa Armenia
http://www.wikidata.org/entity/Q80040,Bangsa Kazakh
http://www.wikidata.org/entity/Q80248,Greeks in Bulgaria
http://www.wikidata.org/entity/Q82048,Lenape
http://www.wikidata.org/entity/Q83142,Kirgiz Yenisei
http://www.wikidata.org/entity/Q83328,Bangsa Turk
http://www.wikidata.org/entity/Q83642,Khattak
http://www.wikidata.org/entity/Q84072,Bangsa Turki
http://www.wikidata.org/entity/Q86735,Afro-Jerman
http://www.wikidata.org/entity/Q101828,Suku Ainu
http://www.wikidata.org/entity/Q101985,Bangsa Saxon
http://www.wikidata.org/entity/Q102090,Suku Apache
http://www.wikidata.org/entity/Q102251,Sefardim
http://www.wikidata.org/entity/Q104238,Angles
http://www.wikidata.org/entity/Q105405,Cherokee
http://www.wikidata.org/entity/Q106974,Orang Ossetia
http://www.wikidata.org/entity/Q106991,Chukchis
http://www.wikidata.org/entity/Q107331,Twa Danau Besar
http://www.wikidata.org/entity/Q107434,Suku Sioux
http://www.wikidata.org/entity/Q107822,Pelasgoi
http://www.wikidata.org/entity/Q108266,Suku Navajo
http://www.wikidata.org/entity/Q109402,Suku Aymara
http://www.wikidata.org/entity/Q115026,Swedish Americans
http://www.wikidata.org/entity/Q115473,Hazara
http://www.wikidata.org/entity/Q115862,Lotuko people
http://www.wikidata.org/entity/Q115864,Toposa people
http://www.wikidata.org/entity/Q116203,Murle people
http://www.wikidata.org/entity/Q116299,Mandari people
http://www.wikidata.org/entity/Q116971,Suku Mohawk
http://www.wikidata.org/entity/Q117100,Kiowa people
http://www.wikidata.org/entity/Q117191,Cree
http://www.wikidata.org/entity/Q117244,Arawak
http://www.wikidata.org/entity/Q117255,Hopi
http://www.wikidata.org/entity/Q117458,Tatar Krimea
http://www.wikidata.org/entity/Q117726,Dhanuk
http://www.wikidata.org/entity/Q118281,Suku Kannada
http://www.wikidata.org/entity/Q119043,Shoksha
http://www.wikidata.org/entity/Q120601,Omaha people
http://www.wikidata.org/entity/Q121869,Nupe
http://www.wikidata.org/entity/Q123033,Tsuut'ina Nation
http://www.wikidata.org/entity/Q125564,Orang Manx
http://www.wikidata.org/entity/Q126010,Vlachs of Serbia
http://www.wikidata.org/entity/Q126756,Basque
http://www.wikidata.org/entity/Q127515,Chipewyan people
http://www.wikidata.org/entity/Q127885,Bangsa Serbia
http://www.wikidata.org/entity/Q128825,Turki Bulgaria
http://www.wikidata.org/entity/Q129829,Karagözlüler
http://www.wikidata.org/entity/Q129962,Suku Zulu
http://www.wikidata.org/entity/Q131242,Eskimo
http://www.wikidata.org/entity/Q133032,Bangsa Hongaria
http://www.wikidata.org/entity/Q133255,Bangsa Bulgaria
http://www.wikidata.org/entity/Q133478,Lokoya people
http://www.wikidata.org/entity/Q133652,Uduk people
http://www.wikidata.org/entity/Q133886,Didinga people
http://www.wikidata.org/entity/Q134469,Banyamulenge
http://www.wikidata.org/entity/Q134936,Suku Quechua
http://www.wikidata.org/entity/Q135863,Algonquian people
http://www.wikidata.org/entity/Q138803,Qaramitah
http://www.wikidata.org/entity/Q139760,Orang Tsakhur
http://www.wikidata.org/entity/Q140328,Zaghawa people
http://www.wikidata.org/entity/Q140396,Paliyan
http://www.wikidata.org/entity/Q140420,Rusyn
http://www.wikidata.org/entity/Q140472,Silesians
http://www.wikidata.org/entity/Q140663,Orang Toda
http://www.wikidata.org/entity/Q140713,Orang Tulu
http://www.wikidata.org/entity/Q141027,Kodava people
http://www.wikidata.org/entity/Q141507,Filipinos in Germany
http://www.wikidata.org/entity/Q141817,Jerman Amerika
http://www.wikidata.org/entity/Q142425,Indigenous peoples of Oceania
http://www.wikidata.org/entity/Q142485,Manihar
http://www.wikidata.org/entity/Q142530,Nat caste
http://www.wikidata.org/entity/Q142702,Suku Melayu
http://www.wikidata.org/entity/Q142897,Bangsa Zaza
http://www.wikidata.org/entity/Q143231,Vietnamese people in Germany
http://www.wikidata.org/entity/Q144255,Zai
http://www.wikidata.org/entity/Q144964,Suku Trakia
http://www.wikidata.org/entity/Q145573,Zambo
http://www.wikidata.org/entity/Q145665,Suku Manchu
http://www.wikidata.org/entity/Q146076,Zanata
http://www.wikidata.org/entity/Q146521,Sorbia
http://www.wikidata.org/entity/Q146715,Suku Iliria
http://www.wikidata.org/entity/Q147239,Suku Kashubia
http://www.wikidata.org/entity/Q147401,Suku Zapotek
http://www.wikidata.org/entity/Q147540,Székely
http://www.wikidata.org/entity/Q147725,Zaramo people
http://www.wikidata.org/entity/Q148004,Suku Zarma
http://www.wikidata.org/entity/Q149234,Slavia Polabia
http://www.wikidata.org/entity/Q149247,Milceni
http://www.wikidata.org/entity/Q149682,Drevani
http://www.wikidata.org/entity/Q149799,Q149799
http://www.wikidata.org/entity/Q153557,Bangsa Kakwa
http://www.wikidata.org/entity/Q153639,Zo'é people
http://www.wikidata.org/entity/Q156108,Obotrite
http://www.wikidata.org/entity/Q156274,Kotas
http://www.wikidata.org/entity/Q157139,Jerman Baltik
http://www.wikidata.org/entity/Q159090,Issei
http://www.wikidata.org/entity/Q159850,Q159850
http://www.wikidata.org/entity/Q161614,Hanys
http://www.wikidata.org/entity/Q161652,bangsa Jepang
